episode,attempts,success,phase,steps,tag,regrasps,unjams,pose_rejects
0,8,0,DONE_FAIL,300,,0,0,0
1,8,0,handoff_failed,0,,0,0,0
2,8,0,handoff_failed,0,,0,0,0
3,8,0,handoff_failed,0,,0,0,0
4,8,0,handoff_failed,0,,0,0,0
5,8,0,handoff_failed,0,,0,0,0
6,8,0,handoff_failed,0,,0,0,0
7,5,0,DONE_FAIL,300,,0,0,0
8,2,1,DONE_OK,138,,0,0,0
9,8,0,handoff_failed,0,,0,0,0
10,8,0,handoff_failed,0,,0,0,0
11,8,0,handoff_failed,0,,0,0,0
12,8,0,handoff_failed,0,,0,0,0
13,4,1,DONE_OK,110,,0,0,0
14,1,0,DONE_FAIL,107,,0,0,0
15,4,1,DONE_OK,129,,0,0,0
16,3,1,DONE_OK,162,,0,0,0
17,5,1,DONE_OK,145,,0,0,0
18,4,1,DONE_OK,136,,0,0,0
19,8,0,handoff_failed,0,,0,0,0
20,8,0,handoff_failed,0,,0,0,0
21,5,1,DONE_OK,152,,0,0,0
22,8,0,handoff_failed,0,,0,0,0
23,2,1,DONE_OK,158,,0,0,0
24,8,0,handoff_failed,0,,0,0,0
25,8,0,handoff_failed,0,,0,0,0
26,1,1,DONE_OK,163,,0,0,0
27,8,0,handoff_failed,0,,0,0,0
28,8,0,handoff_failed,0,,0,0,0
29,2,1,DONE_OK,150,,0,0,0
30,8,0,handoff_failed,0,,0,0,0
31,8,0,handoff_failed,0,,0,0,0
32,4,1,DONE_OK,135,,0,0,0
33,8,1,DONE_OK,136,,0,0,0
34,8,0,handoff_failed,0,,0,0,0
35,5,1,DONE_OK,229,,0,0,0
36,8,0,handoff_failed,0,,0,0,0
37,8,0,handoff_failed,0,,0,0,0
38,8,0,handoff_failed,0,,0,0,0
39,3,1,DONE_OK,108,,0,0,0
40,8,0,handoff_failed,0,,0,0,0
41,8,0,handoff_failed,0,,0,0,0
42,7,1,DONE_OK,111,,0,0,0
43,8,0,handoff_failed,0,,0,0,0
44,1,1,DONE_OK,222,,0,0,0
45,8,0,handoff_failed,0,,0,0,0
46,3,1,DONE_OK,168,,0,0,0
47,6,1,DONE_OK,143,,0,0,0
48,4,1,DONE_OK,138,,0,0,0
49,8,0,handoff_failed,0,,0,0,0
