episode,attempts,success,phase,steps,tag,regrasps,unjams,pose_rejects
0,1,1,DONE_OK,119,,0,0,0
1,8,0,handoff_failed,0,,0,0,0
2,1,0,DONE_FAIL,320,,1,0,0
3,8,0,DONE_FAIL,468,,1,0,0
4,1,0,DONE_FAIL,300,,0,0,0
5,4,1,DONE_OK,148,,0,0,0
6,2,0,DONE_FAIL,220,,0,0,0
7,6,0,DONE_FAIL,300,,0,0,0
8,3,0,DONE_FAIL,358,,1,0,0
9,1,1,DONE_OK,154,,0,0,0
10,4,0,DONE_FAIL,113,,0,0,0
11,1,0,DONE_FAIL,316,,1,0,0
12,3,0,DONE_FAIL,300,,0,0,0
13,2,0,DONE_FAIL,121,,0,0,0
14,1,0,DONE_FAIL,277,,1,0,0
15,8,0,handoff_failed,0,,0,0,0
16,8,0,handoff_failed,0,,0,0,0
17,2,0,DONE_FAIL,306,,1,0,0
18,2,0,DONE_FAIL,140,,0,0,0
19,5,0,DONE_FAIL,300,,0,0,0
20,1,1,DONE_OK,112,,0,0,0
21,8,0,handoff_failed,0,,0,0,0
22,3,1,DONE_OK,131,,0,0,0
23,2,0,DONE_FAIL,300,,0,0,0
24,3,0,DONE_FAIL,300,,0,0,0
25,3,1,DONE_OK,112,,0,0,0
26,8,0,handoff_failed,0,,0,0,0
27,1,0,DONE_FAIL,272,,1,0,0
28,1,0,DONE_FAIL,300,,0,0,0
29,5,0,DONE_FAIL,300,,0,0,0
30,2,1,DONE_OK,198,,0,0,0
31,8,0,handoff_failed,0,,0,0,0
32,8,0,handoff_failed,0,,0,0,0
33,1,1,DONE_OK,57,,0,0,0
34,6,0,DONE_FAIL,300,,0,0,0
35,2,0,DONE_FAIL,266,,1,0,0
36,7,0,DONE_FAIL,300,,0,0,0
37,1,0,DONE_FAIL,93,,0,0,0
38,2,0,DONE_FAIL,126,,0,0,0
39,6,1,DONE_OK,114,,0,0,0
40,3,0,DONE_FAIL,300,,0,0,0
41,2,0,DONE_FAIL,297,,1,0,0
42,3,0,DONE_FAIL,300,,0,0,0
43,5,1,DONE_OK,196,,0,0,0
44,1,0,DONE_FAIL,300,,0,0,0
45,8,0,handoff_failed,0,,0,0,0
46,4,1,DONE_OK,67,,0,0,0
47,8,0,handoff_failed,0,,0,0,0
48,1,0,DONE_FAIL,293,,1,0,0
49,1,0,DONE_FAIL,289,,1,0,0
