mode,period,latency,noise_pos_m,dropout,episodes,successes,success_pct,mean_steps,perception_ticks,detections,dropouts
recompute,1,0,0.0,0.0,30,24,80.0,59.6,1817,1817,0
recompute,1,0,0.002,0.0,30,22,73.3,79.6,2419,2419,0
recompute,1,0,0.005,0.0,30,24,80.0,66.0,2010,2010,0
recompute,1,0,0.01,0.0,30,23,76.7,77.7,2360,2360,0
recompute,2,0,0.0,0.0,30,28,93.3,41.7,648,648,0
recompute,2,0,0.002,0.0,30,22,73.3,73.4,1127,1127,0
recompute,2,0,0.005,0.0,30,29,96.7,41.4,644,644,0
recompute,2,0,0.01,0.0,30,22,73.3,84.7,1296,1296,0
recompute,5,0,0.0,0.0,30,27,90.0,51.3,327,327,0
recompute,5,0,0.002,0.0,30,24,80.0,65.7,414,414,0
recompute,5,0,0.005,0.0,30,22,73.3,71.2,447,447,0
recompute,5,0,0.01,0.0,30,22,73.3,73.8,466,466,0
recompute,10,0,0.0,0.0,30,21,70.0,88.5,287,287,0
recompute,10,0,0.002,0.0,30,25,83.3,63.5,206,206,0
recompute,10,0,0.005,0.0,30,27,90.0,52.7,174,174,0
recompute,10,0,0.01,0.0,30,26,86.7,57.7,192,192,0
recompute,20,0,0.0,0.0,30,25,83.3,59.3,108,108,0
recompute,20,0,0.002,0.0,30,21,70.0,84.2,147,147,0
recompute,20,0,0.005,0.0,30,25,83.3,65.5,117,117,0
recompute,20,0,0.01,0.0,30,24,80.0,70.9,127,127,0
frozen,2,0,0.0,0.0,30,24,80.0,64.7,994,994,0
frozen,2,0,0.002,0.0,30,22,73.3,89.3,1364,1364,0
frozen,2,0,0.005,0.0,30,27,90.0,51.1,790,790,0
frozen,2,0,0.01,0.0,30,22,73.3,92.8,1418,1418,0
frozen,5,0,0.0,0.0,30,15,50.0,124.7,773,773,0
frozen,5,0,0.002,0.0,30,18,60.0,117.1,725,725,0
frozen,5,0,0.005,0.0,30,16,53.3,126.8,781,781,0
frozen,5,0,0.01,0.0,30,17,56.7,121.1,752,752,0
frozen,10,0,0.0,0.0,30,8,26.7,180.8,569,569,0
frozen,10,0,0.002,0.0,30,5,16.7,182.3,575,575,0
frozen,10,0,0.005,0.0,30,4,13.3,185.1,584,584,0
frozen,10,0,0.01,0.0,30,8,26.7,188.8,593,593,0
frozen,20,0,0.0,0.0,30,0,0.0,200.0,330,330,0
frozen,20,0,0.002,0.0,30,3,10.0,193.4,319,319,0
frozen,20,0,0.005,0.0,30,1,3.3,199.2,328,328,0
frozen,20,0,0.01,0.0,30,2,6.7,196.0,323,323,0
