mode,period,latency,noise_pos_m,dropout,episodes,successes,success_pct,mean_steps,perception_ticks,detections,dropouts
recompute,1,0,0.0,0.0,30,28,93.3,34.5,1066,1066,0
recompute,1,0,0.002,0.0,30,28,93.3,36.0,1109,1109,0
recompute,1,0,0.005,0.0,30,28,93.3,36.4,1121,1121,0
recompute,1,0,0.01,0.0,30,28,93.3,40.8,1254,1254,0
recompute,2,0,0.0,0.0,30,27,90.0,42.9,666,666,0
recompute,2,0,0.002,0.0,30,27,90.0,40.3,631,631,0
recompute,2,0,0.005,0.0,30,28,93.3,34.5,541,541,0
recompute,2,0,0.01,0.0,30,27,90.0,45.7,711,711,0
recompute,5,0,0.0,0.0,30,28,93.3,35.0,228,228,0
recompute,5,0,0.002,0.0,30,28,93.3,34.4,225,225,0
recompute,5,0,0.005,0.0,30,28,93.3,38.9,250,250,0
recompute,5,0,0.01,0.0,30,27,90.0,41.1,265,265,0
recompute,10,0,0.0,0.0,30,27,90.0,40.9,142,142,0
recompute,10,0,0.002,0.0,30,27,90.0,41.8,144,144,0
recompute,10,0,0.005,0.0,30,27,90.0,42.5,146,146,0
recompute,10,0,0.01,0.0,30,28,93.3,39.0,136,136,0
recompute,20,0,0.0,0.0,30,28,93.3,34.7,70,70,0
recompute,20,0,0.002,0.0,30,27,90.0,40.3,81,81,0
recompute,20,0,0.005,0.0,30,27,90.0,43.3,84,84,0
recompute,20,0,0.01,0.0,30,27,90.0,45.0,87,87,0
frozen,2,0,0.0,0.0,30,28,93.3,34.3,540,540,0
frozen,2,0,0.002,0.0,30,28,93.3,35.0,548,548,0
frozen,2,0,0.005,0.0,30,27,90.0,43.6,678,678,0
frozen,2,0,0.01,0.0,30,27,90.0,47.7,737,737,0
frozen,5,0,0.0,0.0,30,21,70.0,89.3,559,559,0
frozen,5,0,0.002,0.0,30,19,63.3,102.6,640,640,0
frozen,5,0,0.005,0.0,30,16,53.3,114.0,708,708,0
frozen,5,0,0.01,0.0,30,14,46.7,126.3,784,784,0
frozen,10,0,0.0,0.0,30,1,3.3,199.0,627,627,0
frozen,10,0,0.002,0.0,30,4,13.3,188.8,594,594,0
frozen,10,0,0.005,0.0,30,7,23.3,181.5,570,570,0
frozen,10,0,0.01,0.0,30,4,13.3,190.0,598,598,0
frozen,20,0,0.0,0.0,30,1,3.3,196.9,325,325,0
frozen,20,0,0.002,0.0,30,2,6.7,196.2,323,323,0
frozen,20,0,0.005,0.0,30,1,3.3,195.7,323,323,0
frozen,20,0,0.01,0.0,30,0,0.0,200.0,330,330,0
