episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,0,0,0.8714,DONE_FAIL,366,,1,0,0,,0.0,0.0,0.0
1,1,0,0,0.8873,DONE_FAIL,507,,1,0,0,,0.0,0.0,0.0
2,1,0,0,0.913,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
3,1,0,0,0.8656,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
4,1,0,0,0.849,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
5,1,0,0,0.8936,DONE_FAIL,357,,1,0,0,,0.0,0.0,0.0
6,1,0,0,0.015,DONE_FAIL,427,,1,0,0,,0.0,0.0,0.0
7,1,0,0,0.834,DONE_FAIL,350,,1,0,0,,0.0,0.0,0.0
8,1,0,0,0.8806,DONE_FAIL,516,,2,0,0,,0.0,0.0,0.0
9,1,0,0,0.015,DONE_FAIL,574,,2,0,0,,0.0,0.0,0.0
10,1,0,0,0.015,DONE_FAIL,467,,1,0,0,,0.0,0.0,0.0
11,1,0,0,0.8334,DONE_FAIL,466,,2,0,0,,0.0,0.0,0.0
12,1,0,0,0.8929,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
13,1,0,0,0.8709,DONE_FAIL,386,,1,0,0,,0.0,0.0,0.0
14,1,0,0,0.9143,DONE_FAIL,416,,1,0,0,,0.0,0.0,0.0
15,1,0,0,0.015,DONE_FAIL,424,,1,0,0,,0.0,0.0,0.0
16,1,1,1,0.8832,DONE_OK,310,,1,0,0,,0.0,0.0,0.0
17,1,0,0,0.9151,DONE_FAIL,387,,1,0,0,,0.0,0.0,0.0
18,1,0,0,0.015,DONE_FAIL,576,,2,0,0,,0.0,0.0,0.0
19,1,0,0,0.8954,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
20,1,0,0,0.8916,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
21,1,0,0,0.8351,DONE_FAIL,312,,1,0,0,,0.0,0.0,0.0
22,1,0,0,0.895,DONE_FAIL,654,,2,0,0,,0.0,0.0,0.0
23,1,0,0,0.8277,DONE_FAIL,360,,1,0,0,,0.0,0.0,0.0
24,1,0,0,0.8934,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
25,1,0,0,0.8984,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
26,1,0,0,0.8959,DONE_FAIL,513,,1,0,0,,0.0,0.0,0.0
27,1,0,0,0.895,DONE_FAIL,388,,1,0,0,,0.0,0.0,0.0
28,1,0,0,0.015,DONE_FAIL,360,,1,0,0,,0.0,0.0,0.0
29,1,0,0,0.8745,DONE_FAIL,609,,2,0,0,,0.0,0.0,0.0
30,1,0,0,0.9051,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
31,1,0,1,0.9136,DONE_FAIL,490,,1,0,0,,0.0,0.0,0.0
32,1,0,0,0.8351,DONE_FAIL,466,,1,0,0,,0.0,0.0,0.0
33,1,0,0,0.9039,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
34,1,1,1,0.8715,DONE_OK,233,,0,0,0,,0.0,0.0,0.0
35,1,0,0,0.015,DONE_FAIL,524,,2,0,0,,0.0,0.0,0.0
36,1,0,0,0.9743,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
37,1,0,0,0.8965,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
38,1,0,0,0.835,DONE_FAIL,301,,1,0,0,,0.0,0.0,0.0
39,1,1,1,0.8966,DONE_OK,328,,1,0,0,,0.0,0.0,0.0
40,1,0,0,0.914,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
41,1,0,0,0.897,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
42,1,1,1,0.8711,DONE_OK,374,,2,0,0,,0.0,0.0,0.0
43,1,0,0,0.015,DONE_FAIL,362,,1,0,0,,0.0,0.0,0.0
44,1,0,0,0.8567,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
45,1,0,0,0.894,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
46,1,1,1,0.8715,DONE_OK,224,,0,0,0,,0.0,0.0,0.0
47,1,0,0,0.835,DONE_FAIL,499,,2,0,0,,0.0,0.0,0.0
48,1,0,0,0.015,DONE_FAIL,492,,1,0,0,,0.0,0.0,0.0
49,1,0,0,0.9525,DONE_FAIL,651,,2,0,0,,0.0,0.0,0.0
