episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,0,0,1.3026,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
1,1,1,1,0.8968,DONE_OK,175,,0,0,0,,0.0,0.0,0.0
2,1,1,1,0.8813,DONE_OK,147,,0,0,0,,0.0,0.0,0.0
3,1,1,1,0.8346,DONE_OK,158,,0,0,0,,0.0,0.0,0.0
4,1,1,1,0.8937,DONE_OK,90,,0,0,0,,0.0,0.0,0.0
5,1,0,0,0.9827,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
6,1,1,1,0.9099,DONE_OK,153,,0,0,0,,0.0,0.0,0.0
7,1,1,1,0.8792,DONE_OK,123,,0,0,0,,0.0,0.0,0.0
8,1,1,1,0.8889,DONE_OK,153,,0,0,0,,0.0,0.0,0.0
9,1,1,1,0.9026,DONE_OK,218,,0,0,0,,0.0,0.0,0.0
10,1,0,1,0.9034,DONE_FAIL,185,,0,0,0,,0.0,0.0,0.0
11,1,1,1,0.895,DONE_OK,187,,0,0,0,,0.0,0.0,0.0
12,1,0,1,0.9027,DONE_FAIL,177,,0,0,0,,0.0,0.0,0.0
13,1,1,1,0.8963,DONE_OK,159,,0,0,0,,0.0,0.0,0.0
14,1,1,1,0.9062,DONE_OK,204,,0,0,0,,0.0,0.0,0.0
15,1,1,1,0.9024,DONE_OK,175,,0,0,0,,0.0,0.0,0.0
16,1,1,1,0.8974,DONE_OK,172,,0,0,0,,0.0,0.0,0.0
17,1,1,1,0.8959,DONE_OK,115,,0,0,0,,0.0,0.0,0.0
18,1,0,1,0.9063,DONE_FAIL,195,,0,0,0,,0.0,0.0,0.0
19,1,1,1,0.9007,DONE_OK,161,,0,0,0,,0.0,0.0,0.0
20,1,1,1,0.8982,DONE_OK,141,,0,0,0,,0.0,0.0,0.0
21,1,1,1,0.8775,DONE_OK,71,,0,0,0,,0.0,0.0,0.0
22,1,1,1,0.9033,DONE_OK,150,,0,0,0,,0.0,0.0,0.0
23,1,1,1,0.8968,DONE_OK,159,,0,0,0,,0.0,0.0,0.0
24,1,1,1,0.8967,DONE_OK,161,,0,0,0,,0.0,0.0,0.0
25,1,0,1,0.9033,DONE_FAIL,207,,0,0,0,,0.0,0.0,0.0
26,1,1,1,0.8964,DONE_OK,175,,0,0,0,,0.0,0.0,0.0
27,1,0,0,0.9679,TEST_LIFT,654,,2,0,0,,0.0,0.0,0.0
28,1,1,1,0.8957,DONE_OK,210,,0,0,0,,0.0,0.0,0.0
29,1,1,1,0.8975,DONE_OK,208,,0,0,0,,0.0,0.0,0.0
30,1,1,1,0.8827,DONE_OK,143,,0,0,0,,0.0,0.0,0.0
31,1,1,1,0.9031,DONE_OK,128,,0,0,0,,0.0,0.0,0.0
32,1,1,1,0.895,DONE_OK,178,,0,0,0,,0.0,0.0,0.0
33,1,0,1,0.9075,DONE_FAIL,229,,0,0,0,,0.0,0.0,0.0
34,1,1,1,0.8957,DONE_OK,133,,0,0,0,,0.0,0.0,0.0
35,1,1,1,0.8961,DONE_OK,129,,0,0,0,,0.0,0.0,0.0
36,1,1,1,0.8844,DONE_OK,127,,0,0,0,,0.0,0.0,0.0
37,1,1,1,0.8968,DONE_OK,127,,0,0,0,,0.0,0.0,0.0
38,1,1,1,0.8982,DONE_OK,188,,0,0,0,,0.0,0.0,0.0
39,1,0,0,0.9162,DONE_FAIL,175,,0,0,0,,0.0,0.0,0.0
40,1,1,1,0.9106,DONE_OK,169,,0,0,0,,0.0,0.0,0.0
41,1,1,1,0.9009,DONE_OK,164,,0,0,0,,0.0,0.0,0.0
42,1,1,1,0.8969,DONE_OK,184,,0,0,0,,0.0,0.0,0.0
43,1,1,1,0.8965,DONE_OK,157,,0,0,0,,0.0,0.0,0.0
44,1,1,1,0.8902,DONE_OK,182,,0,0,0,,0.0,0.0,0.0
45,1,1,1,0.907,DONE_OK,141,,0,0,0,,0.0,0.0,0.0
46,1,1,1,0.9065,DONE_OK,130,,0,0,0,,0.0,0.0,0.0
47,1,1,1,0.9097,DONE_OK,312,,0,0,0,,0.0,0.0,0.0
48,1,1,1,0.8891,DONE_OK,191,,0,0,0,,0.0,0.0,0.0
49,1,0,0,1.3669,DONE_FAIL,441,,1,0,0,,0.0,0.0,0.0
