episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,0,0,0.0749,DONE_FAIL,480,,1,0,0,,0.0,0.0,0.0
1,1,0,0,0.9102,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
2,1,0,0,0.015,DONE_FAIL,536,,2,0,0,,0.0,0.0,0.0
3,1,0,0,0.8351,DONE_FAIL,350,,1,0,0,,0.0,0.0,0.0
4,1,0,0,0.015,TRANSPORT,652,,2,0,0,,0.0,0.0,0.0
5,1,0,0,0.8351,DONE_FAIL,417,,2,0,0,,0.0,0.0,0.0
6,1,0,0,0.859,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
7,1,0,0,0.8641,DONE_FAIL,290,,1,0,0,,0.0,0.0,0.0
8,1,0,0,0.015,DONE_FAIL,409,,1,0,0,,0.0,0.0,0.0
9,1,0,0,0.015,DONE_FAIL,292,,1,0,0,,0.0,0.0,0.0
10,1,0,0,0.05,DONE_FAIL,524,,1,0,0,,0.0,0.0,0.0
11,1,0,0,0.9777,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
12,1,0,0,0.015,DONE_FAIL,591,,2,0,0,,0.0,0.0,0.0
13,1,0,0,0.015,DONE_FAIL,383,,1,0,0,,0.0,0.0,0.0
14,1,0,0,0.8623,DONE_FAIL,372,,1,0,0,,0.0,0.0,0.0
15,1,0,0,0.015,DONE_FAIL,485,,1,0,0,,0.0,0.0,0.0
16,1,0,0,0.9027,DONE_FAIL,367,,1,0,0,,0.0,0.0,0.0
17,1,0,0,0.9186,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
18,1,0,0,0.05,DONE_FAIL,497,,1,0,0,,0.0,0.0,0.0
19,1,0,0,0.015,DONE_FAIL,567,,2,0,0,,0.0,0.0,0.0
20,1,0,0,0.918,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
21,1,0,0,0.8351,DONE_FAIL,291,,1,0,0,,0.0,0.0,0.0
22,1,0,0,0.895,DONE_FAIL,358,,1,0,0,,0.0,0.0,0.0
23,1,0,0,1.7139,DONE_FAIL,366,,1,0,0,,0.0,0.0,0.0
24,1,0,0,0.9067,DONE_FAIL,426,,2,0,0,,0.0,0.0,0.0
25,1,0,0,0.8951,DONE_FAIL,479,,2,0,0,,0.0,0.0,0.0
26,1,0,0,0.995,DONE_FAIL,353,,1,0,0,,0.0,0.0,0.0
27,1,0,0,0.8351,DONE_FAIL,567,,2,0,0,,0.0,0.0,0.0
28,1,0,0,0.015,DONE_FAIL,415,,1,0,0,,0.0,0.0,0.0
29,1,0,0,0.8351,DONE_FAIL,268,,1,0,0,,0.0,0.0,0.0
30,1,0,0,0.015,DONE_FAIL,459,,1,0,0,,0.0,0.0,0.0
31,1,0,0,0.015,DONE_FAIL,517,,1,0,0,,0.0,0.0,0.0
32,1,0,0,0.5708,DONE_FAIL,346,,1,0,0,,0.0,0.0,0.0
33,1,0,0,0.05,DONE_FAIL,534,,2,0,0,,0.0,0.0,0.0
34,1,0,0,0.05,DONE_FAIL,304,,1,0,0,,0.0,0.0,0.0
35,1,0,0,0.015,DONE_FAIL,478,,1,0,0,,0.0,0.0,0.0
36,1,0,0,0.9187,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
37,1,0,0,0.9214,DONE_FAIL,384,,1,0,0,,0.0,0.0,0.0
38,1,0,0,0.835,DONE_FAIL,295,,1,0,0,,0.0,0.0,0.0
39,1,0,0,0.015,DONE_FAIL,352,,1,0,0,,0.0,0.0,0.0
40,1,0,0,0.8407,DONE_FAIL,302,,1,0,0,,0.0,0.0,0.0
41,1,0,0,0.015,DONE_FAIL,375,,1,0,0,,0.0,0.0,0.0
42,1,0,0,0.015,DONE_FAIL,464,,1,0,0,,0.0,0.0,0.0
43,1,0,0,0.015,DONE_FAIL,369,,1,0,0,,0.0,0.0,0.0
44,1,0,0,0.015,DONE_FAIL,368,,1,0,0,,0.0,0.0,0.0
45,1,0,0,0.015,DONE_FAIL,313,,1,0,0,,0.0,0.0,0.0
46,1,0,0,0.931,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
47,1,0,0,0.015,DONE_FAIL,455,,1,0,0,,0.0,0.0,0.0
48,1,0,0,0.9026,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
49,1,0,0,0.6181,DONE_FAIL,350,,1,0,0,,0.0,0.0,0.0
