episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,0,0,0.895,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
1,1,0,0,0.9789,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
2,1,0,0,0.835,DONE_FAIL,358,,1,0,0,,0.0,0.0,0.0
3,1,0,0,0.967,DONE_FAIL,403,,1,0,0,,0.0,0.0,0.0
4,1,0,0,1.1273,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
5,1,0,0,0.7551,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
6,1,0,0,0.9944,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
7,1,0,0,0.9753,DONE_FAIL,368,,1,0,0,,0.0,0.0,0.0
8,1,0,0,0.8826,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
9,1,0,0,0.9371,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
10,1,0,0,1.7661,DONE_FAIL,369,,1,0,0,,0.0,0.0,0.0
11,1,0,0,0.8845,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
12,1,0,0,0.8266,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
13,1,0,0,1.2363,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
14,1,0,0,1.7813,DONE_FAIL,351,,1,0,0,,0.0,0.0,0.0
15,1,0,0,0.7829,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
16,1,0,0,0.8796,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
17,1,0,0,0.685,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
18,1,0,0,0.6345,DONE_FAIL,368,,1,0,0,,0.0,0.0,0.0
19,1,0,0,0.8861,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
20,1,0,0,0.9202,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
21,1,0,0,0.9651,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
22,1,0,0,0.9231,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
23,1,0,0,0.7575,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
24,1,0,0,0.8316,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
25,1,0,0,0.5748,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
26,1,0,0,0.8332,DONE_FAIL,383,,1,0,0,,0.0,0.0,0.0
27,1,0,0,0.8351,DONE_FAIL,296,,1,0,0,,0.0,0.0,0.0
28,1,0,0,1.3325,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
29,1,0,0,0.05,DONE_FAIL,290,,1,0,0,,0.0,0.0,0.0
30,1,0,0,1.056,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
31,1,0,0,0.7873,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
32,1,0,0,0.6056,DONE_FAIL,418,,1,0,0,,0.0,0.0,0.0
33,1,0,0,1.2359,DONE_FAIL,414,,1,0,0,,0.0,0.0,0.0
34,1,0,0,1.0287,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
35,1,0,0,0.9712,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
36,1,0,0,0.9001,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
37,1,0,0,1.1185,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
38,1,0,0,0.8341,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
39,1,0,0,1.1141,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
40,1,0,0,0.7901,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
41,1,0,0,0.9755,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
42,1,0,0,0.8303,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
43,1,0,0,0.7461,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
44,1,0,0,0.7454,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
45,1,0,0,1.5321,DONE_FAIL,537,,1,0,0,,0.0,0.0,0.0
46,1,0,0,1.1341,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
47,1,0,0,1.3625,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
48,1,0,0,1.117,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
49,1,0,0,0.719,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
