episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,0,0,1.0623,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
1,1,0,0,1.1034,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
2,1,0,0,0.8415,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
3,1,0,0,1.0605,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
4,1,0,0,0.9426,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
5,1,0,0,0.8347,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
6,1,0,0,0.94,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
7,1,0,0,0.8619,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
8,1,0,0,1.093,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
9,1,0,0,0.8921,DONE_FAIL,322,,1,0,0,,0.0,0.0,0.0
10,1,0,0,1.033,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
11,1,0,0,0.9825,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
12,1,0,0,1.0099,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
13,1,0,0,0.8926,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
14,1,0,0,0.9407,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
15,1,0,0,0.9679,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
16,1,0,0,0.8851,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
17,1,0,0,0.9864,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
18,1,0,0,1.3716,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
19,1,0,0,1.0146,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
20,1,0,0,0.8592,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
21,1,0,0,1.4594,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
22,1,0,0,0.7139,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
23,1,0,0,0.9028,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
24,1,0,0,1.1377,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
25,1,0,0,0.7578,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
26,1,0,0,0.704,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
27,1,0,0,0.8051,DONE_FAIL,290,,1,0,0,,0.0,0.0,0.0
28,1,0,0,0.8899,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
29,1,0,0,0.8497,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
30,1,0,0,0.7779,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
31,1,0,0,1.8359,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
32,1,0,0,0.9636,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
33,1,0,0,0.8481,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
34,1,0,0,1.1455,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
35,1,0,0,0.8372,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
36,1,0,0,1.0426,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
37,1,0,0,1.0795,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
38,1,0,0,0.8692,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
39,1,0,0,0.9531,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
40,1,0,0,0.8469,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
41,1,0,0,0.959,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
42,1,0,0,0.9912,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
43,1,0,0,1.0811,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
44,1,0,0,1.0169,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
45,1,0,0,0.7801,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
46,1,0,0,1.0963,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
47,1,0,0,1.4504,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
48,1,0,0,1.2121,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
49,1,0,0,0.9127,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
