episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,1,1,0.887,DONE_OK,102,,0,0,0,,0.0,0.0,0.0
1,1,0,0,0.015,DONE_FAIL,314,,1,0,0,,0.0,0.0,0.0
2,1,0,0,0.8491,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
3,1,0,0,1.0097,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
4,1,1,1,0.8997,DONE_OK,101,,0,0,0,,0.0,0.0,0.0
5,1,0,0,0.9013,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
6,1,1,1,0.8778,DONE_OK,58,,0,0,0,,0.0,0.0,0.0
7,1,0,0,0.05,DONE_FAIL,386,,1,0,0,,0.0,0.0,0.0
8,1,0,0,0.8455,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
9,1,0,0,0.9244,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
10,1,0,0,1.2062,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
11,1,0,0,1.257,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
12,1,0,0,0.7951,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
13,1,1,1,0.8828,DONE_OK,129,,0,0,0,,0.0,0.0,0.0
14,1,0,0,0.9558,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
15,1,0,0,0.6243,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
16,1,0,0,0.8351,DONE_FAIL,304,,1,0,0,,0.0,0.0,0.0
17,1,0,0,0.8262,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
18,1,0,0,1.0648,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
19,1,0,0,0.8619,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
20,1,0,0,0.926,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
21,1,0,0,1.0514,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
22,1,0,0,1.0126,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
23,1,0,0,0.9004,DONE_FAIL,275,,1,0,0,,0.0,0.0,0.0
24,1,0,0,1.068,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
25,1,0,0,0.9502,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
26,1,0,0,0.9954,DONE_FAIL,422,,2,0,0,,0.0,0.0,0.0
27,1,0,0,1.0202,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
28,1,1,1,0.8971,DONE_OK,69,,0,0,0,,0.0,0.0,0.0
29,1,0,0,1.9671,DONE_FAIL,442,,1,0,0,,0.0,0.0,0.0
30,1,1,1,0.8928,DONE_OK,81,,0,0,0,,0.0,0.0,0.0
31,1,0,0,0.9538,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
32,1,0,0,0.334,DONE_FAIL,288,,1,0,0,,0.0,0.0,0.0
33,1,0,0,0.05,DONE_FAIL,495,,2,0,0,,0.0,0.0,0.0
34,1,0,0,0.394,DONE_FAIL,355,,1,0,0,,0.0,0.0,0.0
35,1,0,0,0.9615,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
36,1,0,0,1.0237,DONE_FAIL,447,,2,0,0,,0.0,0.0,0.0
37,1,0,0,0.731,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
38,1,0,0,1.8214,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
39,1,0,0,0.015,DONE_FAIL,297,,1,0,0,,0.0,0.0,0.0
40,1,0,0,0.961,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
41,1,0,0,0.7933,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
42,1,0,0,1.0478,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
43,1,1,1,0.8965,DONE_OK,61,,0,0,0,,0.0,0.0,0.0
44,1,0,0,0.977,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
45,1,0,0,0.9239,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
46,1,1,1,0.8924,DONE_OK,81,,0,0,0,,0.0,0.0,0.0
47,1,0,0,0.9782,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
48,1,0,0,0.015,DONE_FAIL,339,,1,0,0,,0.0,0.0,0.0
49,1,0,0,0.015,DONE_FAIL,273,,1,0,0,,0.0,0.0,0.0
