label,policy,frac,seed,episode,reason,success,steps,released,handoff_d,R_custom,R_builtin,ctrl_returned_minus_custom,ctrl_builtin_mismatch_steps,ctrl_builtin_max_abs
creep,creep,0.3,1,0,transport_stall,0,51,0,0.1521,-25.0877,26.4816,0.0,0,0.0
creep,creep,0.3,1,1,transport_stall,0,80,0,0.1441,-27.8449,40.85,0.0,0,0.0
creep,creep,0.3,1,2,transport_stall,0,51,0,0.1482,-25.1038,26.6037,0.0,0,0.0
creep,creep,0.3,1,3,transport_stall,0,51,0,0.1768,-25.0047,26.112,0.0,0,0.0
creep,creep,0.3,1,4,transport_stall,0,51,0,0.233,-24.8078,25.6892,0.0,0,0.0
creep,creep,0.3,1,5,transport_stall,0,51,0,0.2094,-24.8913,25.8333,0.0,0,0.0
creep,creep,0.3,1,6,success,1,6,1,0.1035,149.4038,3.3776,0.0,0,0.0
creep,creep,0.3,1,7,transport_stall,0,51,0,0.2348,-24.8041,25.6983,0.0,0,0.0
creep,creep,0.3,1,8,transport_stall,0,51,0,0.1388,-25.1359,26.8023,0.0,0,0.0
creep,creep,0.3,1,9,transport_stall,0,51,0,0.1575,-25.0719,26.4526,0.0,0,0.0
creep,creep,0.3,1,10,transport_stall,0,51,0,0.1897,-24.958,25.9464,0.0,0,0.0
creep,creep,0.3,1,11,transport_stall,0,51,0,0.2037,-24.9125,25.8868,0.0,0,0.0
creep,creep,0.3,1,12,transport_stall,0,51,0,0.1362,-25.1407,26.8237,0.0,0,0.0
creep,creep,0.3,1,13,transport_stall,0,51,0,0.1714,-25.0202,26.1686,0.0,0,0.0
creep,creep,0.3,1,14,transport_stall,0,51,0,0.3291,-24.4795,24.3555,0.0,0,0.0
creep,creep,0.3,1,15,transport_stall,0,51,0,0.1811,-24.9834,26.0271,0.0,0,0.0
creep,creep,0.3,1,16,transport_stall,0,51,0,0.1949,-24.941,25.944,0.0,0,0.0
creep,creep,0.3,1,17,transport_stall,0,51,0,0.213,-24.8801,25.8071,0.0,0,0.0
creep,creep,0.3,1,18,transport_stall,0,51,0,0.2026,-24.9154,25.8778,0.0,0,0.0
creep,creep,0.3,1,19,transport_stall,0,51,0,0.2756,-24.6615,25.5818,0.0,0,0.0
