label,policy,frac,seed,episode,reason,success,steps,released,handoff_d,R_custom,R_builtin,ctrl_returned_minus_custom,ctrl_builtin_mismatch_steps,ctrl_builtin_max_abs
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,1,0,success,1,83,1,0.5089,145.5531,42.2036,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,1,1,success,1,86,1,0.4907,145.5352,43.4083,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,1,2,success,1,82,1,0.5049,145.4241,42.1424,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,1,3,success,1,98,1,0.5954,145.1977,49.7171,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,1,4,success,1,145,1,0.7281,140.8189,72.447,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,1,5,success,1,119,1,0.7037,143.6742,60.2179,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,1,6,transport_stall,0,117,0,0.3546,-31.5002,59.3043,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,1,7,success,1,113,1,0.788,144.9635,55.1456,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,1,8,success,1,119,1,0.6438,143.896,59.9107,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,1,9,success,1,73,1,0.4788,146.0896,37.5916,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,1,10,success,1,94,1,0.5384,144.9921,47.7258,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,1,11,success,1,117,1,0.6345,143.791,59.6497,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,1,12,success,1,98,1,0.6934,145.1729,50.1341,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,1,13,transport_stall,0,131,0,0.4674,-30.6951,66.0141,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,1,14,success,1,90,1,0.5714,145.6947,46.0687,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,1,15,success,1,135,1,0.6829,142.2891,68.3701,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,1,16,success,1,97,1,0.5048,144.2004,49.2778,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,1,17,success,1,102,1,0.653,144.9669,52.076,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,1,18,success,1,119,1,0.7183,143.6418,60.2485,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,1,19,success,1,110,1,0.6846,144.491,55.7237,0.0,0,0.0
