label,policy,frac,seed,episode,reason,success,steps,released,handoff_d,R_custom,R_builtin,R_bpot_shape,R_bpot_sparse,ctrl_returned_minus_custom,ctrl_builtin_mismatch_steps,ctrl_builtin_max_abs
zero,zero,1.0,1,0,transport_stall,0,51,0,0.5089,-23.9166,25.5007,-0.255,0.0,0.0,0,0.0
zero,zero,1.0,1,1,transport_stall,0,51,0,0.4907,-23.5316,20.6501,-0.2048,0.0,0.0,0,0.0
zero,zero,1.0,1,2,transport_stall,0,51,0,0.5049,-23.9255,25.5007,-0.255,0.0,0.0,0,0.0
zero,zero,1.0,1,3,transport_stall,0,51,0,0.5954,-23.5901,25.5001,-0.255,0.0,0.0,0,0.0
zero,zero,1.0,1,4,transport_stall,0,97,0,0.7281,-26.79,45.42,-0.5046,0.0,0.0,0,0.0
zero,zero,1.0,1,5,transport_stall,0,51,0,0.7037,-23.57,25.3877,-0.2354,0.0,0.0,0,0.0
zero,zero,1.0,1,6,transport_stall,0,51,0,0.3546,-24.4376,25.5147,-0.2552,0.0,0.0,0,0.0
zero,zero,1.0,1,7,transport_stall,0,51,0,0.788,-23.1991,19.3702,-0.1935,0.0,0.0,0,0.0
zero,zero,1.0,1,8,transport_stall,0,51,0,0.6438,-23.1662,20.0455,-0.201,0.0,0.0,0,0.0
zero,zero,1.0,1,9,transport_stall,0,51,0,0.4788,-23.9805,25.5014,-0.255,0.0,0.0,0,0.0
zero,zero,1.0,1,10,transport_stall,0,51,0,0.5384,-23.8366,25.5004,-0.255,0.0,0.0,0,0.0
zero,zero,1.0,1,11,transport_stall,0,51,0,0.6345,-23.57,25.5001,-0.255,0.0,0.0,0,0.0
zero,zero,1.0,1,12,transport_stall,0,51,0,0.6934,-23.57,25.5,-0.255,0.0,0.0,0,0.0
zero,zero,1.0,1,13,transport_stall,0,51,0,0.4674,-23.4262,25.5018,-0.255,0.0,0.0,0,0.0
zero,zero,1.0,1,14,transport_stall,0,51,0,0.5714,-23.6644,25.5002,-0.255,0.0,0.0,0,0.0
zero,zero,1.0,1,15,transport_stall,0,51,0,0.6829,-23.57,22.8914,-0.2132,0.0,0.0,0,0.0
zero,zero,1.0,1,16,transport_stall,0,51,0,0.5048,-23.8999,25.5008,-0.255,0.0,0.0,0,0.0
zero,zero,1.0,1,17,transport_stall,0,51,0,0.653,-23.4784,25.5,-0.255,0.0,0.0,0,0.0
zero,zero,1.0,1,18,transport_stall,0,51,0,0.7183,-23.57,25.5,-0.255,0.0,0.0,0,0.0
zero,zero,1.0,1,19,transport_stall,0,51,0,0.6846,-23.57,25.4752,-0.2365,0.0,0.0,0,0.0
