episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,0,0,1.0742,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
1,1,0,0,1.9554,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
2,1,0,0,1.3345,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
3,1,0,0,0.9425,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
4,1,0,0,1.3195,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
5,1,0,0,1.8741,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
6,1,0,0,1.7139,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
7,1,0,0,1.904,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
8,1,0,0,1.8013,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
9,1,1,1,0.8811,DONE_OK,182,,0,0,0,,0.0,0.0,0.0
10,1,0,0,1.2305,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
11,1,0,0,0.9488,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
12,1,0,0,0.9086,DONE_FAIL,208,,0,0,0,,0.0,0.0,0.0
13,1,1,1,0.8752,DONE_OK,167,,0,0,0,,0.0,0.0,0.0
14,1,0,0,1.7604,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
15,1,1,1,0.8351,DONE_OK,198,,0,0,0,,0.0,0.0,0.0
16,1,0,0,1.9448,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
17,1,0,0,1.5372,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
18,1,0,0,1.7079,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
19,1,0,0,1.6542,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
20,1,0,0,1.6229,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
21,1,0,0,0.9955,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
22,1,0,0,1.6345,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
23,1,1,1,0.8857,DONE_OK,191,,0,0,0,,0.0,0.0,0.0
24,1,1,1,0.8659,DONE_OK,215,,0,0,0,,0.0,0.0,0.0
25,1,0,0,2.0812,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
26,1,0,0,1.6381,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
27,1,0,0,1.9233,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
28,1,0,0,0.9591,DONE_FAIL,276,,0,0,0,,0.0,0.0,0.0
29,1,1,1,0.9137,DONE_OK,212,,0,0,0,,0.0,0.0,0.0
30,1,0,0,1.3386,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
31,1,1,1,0.8313,DONE_OK,208,,0,0,0,,0.0,0.0,0.0
32,1,0,0,0.015,DONE_FAIL,162,,0,0,0,,0.0,0.0,0.0
33,1,0,1,0.9112,DONE_FAIL,214,,0,0,0,,0.0,0.0,0.0
34,1,1,1,0.8272,DONE_OK,163,,0,0,0,,0.0,0.0,0.0
35,1,0,0,1.9377,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
36,1,0,0,0.8873,DONE_FAIL,285,,0,0,0,,0.0,0.0,0.0
37,1,0,0,1.3295,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
38,1,0,0,1.8613,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
39,1,0,0,1.8079,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
40,1,0,0,1.0842,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
41,1,0,0,1.9086,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
42,1,0,0,1.7106,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
43,1,0,0,1.9631,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
44,1,0,0,1.7607,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
45,1,0,0,2.1655,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
46,1,0,0,1.6904,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
47,1,1,1,0.8828,DONE_OK,143,,0,0,0,,0.0,0.0,0.0
48,1,0,0,1.7199,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
49,1,0,0,1.5275,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
50,1,1,1,0.8758,DONE_OK,157,,0,0,0,,0.0,0.0,0.0
51,1,0,0,0.8241,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
52,1,0,0,1.424,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
53,1,0,0,1.358,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
54,1,1,1,0.895,DONE_OK,161,,0,0,0,,0.0,0.0,0.0
55,1,1,1,0.8859,DONE_OK,183,,0,0,0,,0.0,0.0,0.0
56,1,0,1,0.904,DONE_FAIL,268,,0,0,0,,0.0,0.0,0.0
57,1,0,0,1.5588,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
58,1,0,0,0.0178,DONE_FAIL,292,,0,0,0,,0.0,0.0,0.0
59,1,0,0,0.9618,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
60,1,0,0,1.8239,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
61,1,0,0,1.2331,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
62,1,0,0,1.7205,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
63,1,0,0,2.0672,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
64,1,0,0,1.8263,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
65,1,1,1,0.8709,DONE_OK,168,,0,0,0,,0.0,0.0,0.0
66,1,0,0,1.5357,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
67,1,0,0,0.8704,DONE_FAIL,285,,0,0,0,,0.0,0.0,0.0
68,1,0,0,1.8749,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
69,1,0,0,1.1976,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
70,1,0,0,1.3389,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
71,1,1,1,0.8335,DONE_OK,193,,0,0,0,,0.0,0.0,0.0
72,1,0,0,1.9724,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
73,1,1,1,0.8862,DONE_OK,327,,0,0,0,,0.0,0.0,0.0
74,1,0,0,1.982,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
75,1,1,1,0.8733,DONE_OK,204,,0,0,0,,0.0,0.0,0.0
76,1,0,0,1.8865,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
77,1,0,0,1.5258,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
78,1,0,0,1.7299,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
79,1,1,1,0.8971,DONE_OK,141,,0,0,0,,0.0,0.0,0.0
80,1,0,0,0.8654,DONE_FAIL,369,,0,0,0,,0.0,0.0,0.0
81,1,0,0,1.795,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
82,1,1,1,0.9221,DONE_OK,156,,0,0,0,,0.0,0.0,0.0
83,1,0,0,1.8343,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
84,1,0,0,1.2178,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
85,1,0,0,1.9261,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
86,1,0,0,1.0667,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
87,1,0,0,1.2757,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
88,1,0,0,1.8547,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
89,1,0,0,1.694,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
90,1,0,0,0.9242,DONE_FAIL,188,,0,0,0,,0.0,0.0,0.0
91,1,0,0,1.4169,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
92,1,0,0,1.1434,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
93,1,0,0,1.295,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
94,1,0,0,1.623,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
95,1,0,0,1.2063,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
96,1,0,0,0.8915,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
97,1,0,1,0.8624,DONE_FAIL,160,,0,0,0,,0.0,0.0,0.0
98,1,0,0,1.94,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
99,1,0,0,1.6925,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
