episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,0,1,0.9003,DONE_FAIL,110,,0,0,0,,0.0,0.0,0.0
1,1,0,1,0.9035,DONE_FAIL,139,,0,0,0,,0.0,0.0,0.0
2,1,1,1,0.8884,DONE_OK,120,,0,0,0,,0.0,0.0,0.0
3,1,1,1,0.8932,DONE_OK,132,,0,0,0,,0.0,0.0,0.0
4,1,1,1,0.8924,DONE_OK,167,,0,0,0,,0.0,0.0,0.0
5,1,1,1,0.8719,DONE_OK,131,,0,0,0,,0.0,0.0,0.0
6,1,1,1,0.8843,DONE_OK,144,,0,0,0,,0.0,0.0,0.0
7,1,1,1,0.8716,DONE_OK,183,,0,0,0,,0.0,0.0,0.0
8,1,1,1,0.8964,DONE_OK,153,,0,0,0,,0.0,0.0,0.0
9,1,1,1,0.8793,DONE_OK,128,,0,0,0,,0.0,0.0,0.0
10,1,1,1,0.8725,DONE_OK,123,,0,0,0,,0.0,0.0,0.0
11,1,1,1,0.8792,DONE_OK,106,,0,0,0,,0.0,0.0,0.0
12,1,1,1,0.8307,DONE_OK,109,,0,0,0,,0.0,0.0,0.0
13,1,1,1,0.8677,DONE_OK,166,,0,0,0,,0.0,0.0,0.0
14,1,1,1,0.868,DONE_OK,152,,0,0,0,,0.0,0.0,0.0
15,1,1,1,0.8775,DONE_OK,129,,0,0,0,,0.0,0.0,0.0
16,1,1,1,0.8852,DONE_OK,134,,0,0,0,,0.0,0.0,0.0
17,1,1,1,0.8716,DONE_OK,127,,0,0,0,,0.0,0.0,0.0
18,1,1,1,0.8805,DONE_OK,152,,0,0,0,,0.0,0.0,0.0
19,1,1,1,0.8685,DONE_OK,130,,0,0,0,,0.0,0.0,0.0
20,1,1,1,0.8694,DONE_OK,106,,0,0,0,,0.0,0.0,0.0
21,1,1,1,0.8733,DONE_OK,138,,0,0,0,,0.0,0.0,0.0
22,1,0,1,0.9092,DONE_FAIL,170,,0,0,0,,0.0,0.0,0.0
23,1,1,1,0.8976,DONE_OK,124,,0,0,0,,0.0,0.0,0.0
24,1,1,1,0.8985,DONE_OK,110,,0,0,0,,0.0,0.0,0.0
25,1,1,1,0.8962,DONE_OK,106,,0,0,0,,0.0,0.0,0.0
26,1,1,1,0.8713,DONE_OK,186,,0,0,0,,0.0,0.0,0.0
27,1,1,1,0.8865,DONE_OK,173,,0,0,0,,0.0,0.0,0.0
28,1,1,1,0.8866,DONE_OK,118,,0,0,0,,0.0,0.0,0.0
29,1,1,1,0.8735,DONE_OK,130,,0,0,0,,0.0,0.0,0.0
30,1,1,1,0.8461,DONE_OK,109,,0,0,0,,0.0,0.0,0.0
31,1,1,1,0.881,DONE_OK,172,,0,0,0,,0.0,0.0,0.0
32,1,1,1,0.8721,DONE_OK,111,,0,0,0,,0.0,0.0,0.0
33,1,1,1,0.8807,DONE_OK,113,,0,0,0,,0.0,0.0,0.0
34,1,1,1,0.8827,DONE_OK,159,,0,0,0,,0.0,0.0,0.0
35,1,1,1,0.8902,DONE_OK,114,,0,0,0,,0.0,0.0,0.0
36,1,1,1,0.8304,DONE_OK,125,,0,0,0,,0.0,0.0,0.0
37,1,1,1,0.8703,DONE_OK,169,,0,0,0,,0.0,0.0,0.0
38,1,1,1,0.8716,DONE_OK,126,,0,0,0,,0.0,0.0,0.0
39,1,1,1,0.8325,DONE_OK,123,,0,0,0,,0.0,0.0,0.0
40,1,1,1,0.8953,DONE_OK,133,,0,0,0,,0.0,0.0,0.0
41,1,1,1,0.9094,DONE_OK,121,,0,0,0,,0.0,0.0,0.0
42,1,1,1,0.8751,DONE_OK,206,,0,0,0,,0.0,0.0,0.0
43,1,1,1,0.9002,DONE_OK,126,,0,0,0,,0.0,0.0,0.0
44,1,1,1,0.8848,DONE_OK,101,,0,0,0,,0.0,0.0,0.0
45,1,1,1,0.9069,DONE_OK,164,,0,0,0,,0.0,0.0,0.0
46,1,0,1,0.9505,DONE_FAIL,210,,0,0,0,,0.0,0.0,0.0
47,1,1,1,0.8799,DONE_OK,113,,0,0,0,,0.0,0.0,0.0
48,1,1,1,0.9229,DONE_OK,134,,0,0,0,,0.0,0.0,0.0
49,1,1,1,0.884,DONE_OK,187,,0,0,0,,0.0,0.0,0.0
50,1,0,0,0.915,DONE_FAIL,170,,0,0,0,,0.0,0.0,0.0
51,1,1,1,0.8703,DONE_OK,113,,0,0,0,,0.0,0.0,0.0
52,1,1,1,0.8706,DONE_OK,96,,0,0,0,,0.0,0.0,0.0
53,1,1,1,0.8468,DONE_OK,143,,0,0,0,,0.0,0.0,0.0
54,1,1,1,0.8754,DONE_OK,117,,0,0,0,,0.0,0.0,0.0
55,1,1,1,0.8716,DONE_OK,122,,0,0,0,,0.0,0.0,0.0
56,1,1,1,0.8979,DONE_OK,124,,0,0,0,,0.0,0.0,0.0
57,1,0,1,0.9042,DONE_FAIL,160,,0,0,0,,0.0,0.0,0.0
58,1,0,1,0.9151,DONE_FAIL,165,,0,0,0,,0.0,0.0,0.0
59,1,1,1,0.8835,DONE_OK,103,,0,0,0,,0.0,0.0,0.0
60,1,1,1,0.8976,DONE_OK,117,,0,0,0,,0.0,0.0,0.0
61,1,1,1,0.8942,DONE_OK,151,,0,0,0,,0.0,0.0,0.0
62,1,1,1,0.8979,DONE_OK,125,,0,0,0,,0.0,0.0,0.0
63,1,0,1,0.9075,DONE_FAIL,206,,0,0,0,,0.0,0.0,0.0
64,1,1,1,0.8972,DONE_OK,123,,0,0,0,,0.0,0.0,0.0
65,1,1,1,0.8743,DONE_OK,128,,0,0,0,,0.0,0.0,0.0
66,1,1,1,0.872,DONE_OK,144,,0,0,0,,0.0,0.0,0.0
67,1,1,1,0.8664,DONE_OK,112,,0,0,0,,0.0,0.0,0.0
68,1,1,1,0.8663,DONE_OK,117,,0,0,0,,0.0,0.0,0.0
69,1,0,0,0.8795,DONE_FAIL,181,,0,0,0,,0.0,0.0,0.0
70,1,1,1,0.8905,DONE_OK,135,,0,0,0,,0.0,0.0,0.0
71,1,1,1,0.8759,DONE_OK,137,,0,0,0,,0.0,0.0,0.0
72,1,1,1,0.9102,DONE_OK,138,,0,0,0,,0.0,0.0,0.0
73,1,1,1,0.8704,DONE_OK,103,,0,0,0,,0.0,0.0,0.0
74,1,1,1,0.895,DONE_OK,143,,0,0,0,,0.0,0.0,0.0
75,1,1,1,0.8722,DONE_OK,127,,0,0,0,,0.0,0.0,0.0
76,1,1,1,0.8832,DONE_OK,157,,0,0,0,,0.0,0.0,0.0
77,1,1,1,0.8694,DONE_OK,133,,0,0,0,,0.0,0.0,0.0
78,1,1,1,0.917,DONE_OK,144,,0,0,0,,0.0,0.0,0.0
79,1,1,1,0.8707,DONE_OK,111,,0,0,0,,0.0,0.0,0.0
80,1,1,1,0.8823,DONE_OK,119,,0,0,0,,0.0,0.0,0.0
81,1,0,1,0.9048,DONE_FAIL,120,,0,0,0,,0.0,0.0,0.0
82,1,1,1,0.848,DONE_OK,130,,0,0,0,,0.0,0.0,0.0
83,1,1,1,0.893,DONE_OK,140,,0,0,0,,0.0,0.0,0.0
84,1,1,1,0.9357,DONE_OK,109,,0,0,0,,0.0,0.0,0.0
85,1,1,1,0.8787,DONE_OK,125,,0,0,0,,0.0,0.0,0.0
86,1,0,1,0.9035,DONE_FAIL,132,,0,0,0,,0.0,0.0,0.0
87,1,1,1,0.897,DONE_OK,136,,0,0,0,,0.0,0.0,0.0
88,1,1,1,0.8707,DONE_OK,90,,0,0,0,,0.0,0.0,0.0
89,1,1,1,0.9343,DONE_OK,141,,0,0,0,,0.0,0.0,0.0
90,1,1,1,0.8768,DONE_OK,107,,0,0,0,,0.0,0.0,0.0
91,1,1,1,0.8962,DONE_OK,135,,0,0,0,,0.0,0.0,0.0
92,1,1,1,0.872,DONE_OK,186,,0,0,0,,0.0,0.0,0.0
93,1,1,1,0.89,DONE_OK,138,,0,0,0,,0.0,0.0,0.0
94,1,1,1,0.8854,DONE_OK,129,,0,0,0,,0.0,0.0,0.0
95,1,1,1,0.8966,DONE_OK,159,,0,0,0,,0.0,0.0,0.0
96,1,0,1,0.9097,DONE_FAIL,172,,0,0,0,,0.0,0.0,0.0
