episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,1,1,0.8963,DONE_OK,86,,0,0,0,,0.0,0.0,0.0
1,1,0,0,0.8847,DONE_FAIL,371,,2,0,0,,0.0,0.0,0.0
2,1,0,1,0.9105,DONE_FAIL,215,,1,0,0,,0.0,0.0,0.0
3,1,0,0,0.015,DONE_FAIL,357,,2,0,0,,0.0,0.0,0.0
4,1,1,1,0.9067,DONE_OK,167,,1,0,0,,0.0,0.0,0.0
5,1,0,0,0.8601,DONE_FAIL,332,,1,0,0,,0.0,0.0,0.0
6,1,0,0,0.9396,DONE_FAIL,288,,1,0,0,,0.0,0.0,0.0
7,1,0,0,0.015,DONE_FAIL,384,,2,0,0,,0.0,0.0,0.0
8,1,0,0,0.8403,DONE_FAIL,279,,1,0,0,,0.0,0.0,0.0
9,1,0,0,0.015,DONE_FAIL,419,,2,0,0,,0.0,0.0,0.0
10,1,1,1,0.871,DONE_OK,169,,1,0,0,,0.0,0.0,0.0
11,1,1,1,0.8708,DONE_OK,86,,0,0,0,,0.0,0.0,0.0
12,1,1,1,0.8798,DONE_OK,68,,0,0,0,,0.0,0.0,0.0
13,1,0,0,0.015,DONE_FAIL,504,,2,0,0,,0.0,0.0,0.0
14,1,0,0,0.8344,DONE_FAIL,294,,1,0,0,,0.0,0.0,0.0
15,1,0,0,0.015,DONE_FAIL,510,,2,0,0,,0.0,0.0,0.0
16,1,0,0,0.8232,DONE_FAIL,367,,1,0,0,,0.0,0.0,0.0
17,1,0,0,0.05,DONE_FAIL,318,,1,0,0,,0.0,0.0,0.0
18,1,0,0,0.87,DONE_FAIL,459,,2,0,0,,0.0,0.0,0.0
19,1,0,0,0.8968,DONE_FAIL,316,,1,0,0,,0.0,0.0,0.0
20,1,0,0,0.8351,DONE_FAIL,276,,1,0,0,,0.0,0.0,0.0
21,1,0,0,0.8879,DONE_FAIL,289,,1,0,0,,0.0,0.0,0.0
22,1,0,0,0.8329,DONE_FAIL,271,,1,0,0,,0.0,0.0,0.0
23,1,0,0,0.9389,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
24,1,0,0,0.8351,DONE_FAIL,275,,1,0,0,,0.0,0.0,0.0
25,1,0,0,0.9083,DONE_FAIL,404,,2,0,0,,0.0,0.0,0.0
26,1,0,0,0.015,DONE_FAIL,430,,2,0,0,,0.0,0.0,0.0
27,1,0,0,0.015,DONE_FAIL,400,,2,0,0,,0.0,0.0,0.0
28,1,1,1,0.8949,DONE_OK,76,,0,0,0,,0.0,0.0,0.0
29,1,0,0,0.8926,DONE_FAIL,177,,0,0,0,,0.0,0.0,0.0
30,1,0,0,0.05,DONE_FAIL,451,,1,0,0,,0.0,0.0,0.0
31,1,1,1,0.8792,DONE_OK,145,,1,0,0,,0.0,0.0,0.0
32,1,0,0,0.015,DONE_FAIL,327,,1,0,0,,0.0,0.0,0.0
33,1,0,0,0.8701,DONE_FAIL,400,,1,0,0,,0.0,0.0,0.0
34,1,1,1,0.8848,DONE_OK,186,,1,0,0,,0.0,0.0,0.0
35,1,0,0,0.8794,DONE_FAIL,367,,1,0,0,,0.0,0.0,0.0
36,1,0,0,0.8954,DONE_FAIL,260,,1,0,0,,0.0,0.0,0.0
37,1,0,0,0.015,DONE_FAIL,316,,1,0,0,,0.0,0.0,0.0
38,1,0,0,0.015,DONE_FAIL,364,,1,0,0,,0.0,0.0,0.0
