episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,0,,,DONE_FAIL,356,,2,0,0,,0.0,0.0,0.0
1,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
2,1,1,,,DONE_OK,78,,0,0,0,,0.0,0.0,0.0
3,1,0,,,DONE_FAIL,446,,1,0,0,,0.0,0.0,0.0
4,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
5,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
6,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
7,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
8,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
9,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
10,1,0,,,DONE_FAIL,279,,1,0,0,,0.0,0.0,0.0
11,1,1,,,DONE_OK,424,,2,0,0,,0.0,0.0,0.0
12,1,0,,,DONE_FAIL,453,,1,0,0,,0.0,0.0,0.0
13,1,1,,,DONE_OK,228,,0,0,0,,0.0,0.0,0.0
14,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
15,1,1,,,DONE_OK,91,,0,0,0,,0.0,0.0,0.0
16,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
17,1,0,,,DONE_FAIL,516,,1,0,0,,0.0,0.0,0.0
18,1,0,,,DONE_FAIL,287,,1,0,0,,0.0,0.0,0.0
19,1,1,,,DONE_OK,255,,0,0,0,,0.0,0.0,0.0
20,1,1,,,DONE_OK,75,,0,0,0,,0.0,0.0,0.0
21,2,0,,,DONE_FAIL,470,,1,0,0,,0.0,0.0,0.0
22,1,0,,,DONE_FAIL,532,,2,0,0,,0.0,0.0,0.0
23,1,0,,,DONE_FAIL,200,,0,0,0,,0.0,0.0,0.0
24,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
25,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
26,1,0,,,DONE_FAIL,288,,1,0,0,,0.0,0.0,0.0
27,1,0,,,DONE_FAIL,296,,1,0,0,,0.0,0.0,0.0
28,1,1,,,DONE_OK,180,,1,0,0,,0.0,0.0,0.0
29,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
30,1,1,,,DONE_OK,52,,0,0,0,,0.0,0.0,0.0
31,1,1,,,DONE_OK,85,,0,0,0,,0.0,0.0,0.0
32,1,1,,,DONE_OK,312,,0,0,0,,0.0,0.0,0.0
33,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
34,1,1,,,DONE_OK,346,,1,0,0,,0.0,0.0,0.0
35,1,1,,,DONE_OK,250,,0,0,0,,0.0,0.0,0.0
36,1,0,,,DONE_FAIL,392,,1,0,0,,0.0,0.0,0.0
37,1,0,,,DONE_FAIL,297,,1,0,0,,0.0,0.0,0.0
38,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
39,1,0,,,DONE_FAIL,426,,1,0,0,,0.0,0.0,0.0
40,1,1,,,DONE_OK,199,,0,0,0,,0.0,0.0,0.0
41,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
42,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
43,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
44,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
45,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
46,1,0,,,DONE_FAIL,375,,1,0,0,,0.0,0.0,0.0
47,1,0,,,DONE_FAIL,477,,1,0,0,,0.0,0.0,0.0
48,1,1,,,DONE_OK,284,,1,0,0,,0.0,0.0,0.0
49,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
50,1,1,,,DONE_OK,83,,0,0,0,,0.0,0.0,0.0
51,1,0,,,DONE_FAIL,375,,1,0,0,,0.0,0.0,0.0
52,1,1,,,DONE_OK,88,,0,0,0,,0.0,0.0,0.0
53,1,1,,,DONE_OK,121,,0,0,0,,0.0,0.0,0.0
54,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
55,1,0,,,DONE_FAIL,280,,1,0,0,,0.0,0.0,0.0
56,1,1,,,DONE_OK,62,,0,0,0,,0.0,0.0,0.0
57,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
58,1,0,,,DONE_FAIL,536,,1,0,0,,0.0,0.0,0.0
59,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
60,1,0,,,DONE_FAIL,434,,1,0,0,,0.0,0.0,0.0
61,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
62,1,1,,,DONE_OK,79,,0,0,0,,0.0,0.0,0.0
63,1,1,,,DONE_OK,180,,0,0,0,,0.0,0.0,0.0
64,1,1,,,DONE_OK,284,,0,0,0,,0.0,0.0,0.0
65,1,1,,,DONE_OK,319,,0,0,0,,0.0,0.0,0.0
66,1,1,,,DONE_OK,91,,0,0,0,,0.0,0.0,0.0
67,1,1,,,DONE_OK,84,,0,0,0,,0.0,0.0,0.0
68,1,0,,,DONE_FAIL,273,,1,0,0,,0.0,0.0,0.0
69,1,1,,,DONE_OK,92,,0,0,0,,0.0,0.0,0.0
70,1,0,,,DONE_FAIL,418,,1,0,0,,0.0,0.0,0.0
71,1,0,,,DONE_FAIL,418,,1,0,0,,0.0,0.0,0.0
72,1,0,,,DONE_FAIL,410,,1,0,0,,0.0,0.0,0.0
73,1,1,,,DONE_OK,84,,0,0,0,,0.0,0.0,0.0
74,1,1,,,DONE_OK,168,,0,0,0,,0.0,0.0,0.0
75,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
76,1,1,,,DONE_OK,116,,0,0,0,,0.0,0.0,0.0
77,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
78,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
79,1,0,,,DONE_FAIL,637,,1,0,0,,0.0,0.0,0.0
80,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
81,1,1,,,DONE_OK,61,,0,0,0,,0.0,0.0,0.0
82,1,0,,,DONE_FAIL,220,,1,0,0,,0.0,0.0,0.0
83,1,1,,,DONE_OK,197,,1,0,0,,0.0,0.0,0.0
84,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
85,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
86,1,1,,,DONE_OK,100,,0,0,0,,0.0,0.0,0.0
87,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
88,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
89,1,1,,,DONE_OK,221,,0,0,0,,0.0,0.0,0.0
90,1,0,,,DONE_FAIL,350,,1,0,0,,0.0,0.0,0.0
91,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
92,1,0,,,DONE_FAIL,94,,0,0,0,,0.0,0.0,0.0
93,1,1,,,DONE_OK,211,,0,0,0,,0.0,0.0,0.0
94,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
95,1,0,,,DONE_FAIL,109,,0,0,0,,0.0,0.0,0.0
96,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
97,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
98,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
99,1,1,,,DONE_OK,189,,0,0,0,,0.0,0.0,0.0
