episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,0,,,DONE_FAIL,95,,0,0,0,,0.0,0.0,0.0
1,1,0,,,DONE_FAIL,381,,1,0,0,,0.0,0.0,0.0
2,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
3,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
4,1,1,,,DONE_OK,69,,0,0,0,,0.0,0.0,0.0
5,1,1,,,DONE_OK,367,,0,0,0,,0.0,0.0,0.0
6,1,0,,,DONE_FAIL,290,,1,0,0,,0.0,0.0,0.0
7,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
8,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
9,1,0,,,DONE_FAIL,444,,1,0,0,,0.0,0.0,0.0
10,1,0,,,DONE_FAIL,384,,1,0,0,,0.0,0.0,0.0
11,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
12,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
13,1,0,,,DONE_FAIL,388,,1,0,0,,0.0,0.0,0.0
14,1,1,,,DONE_OK,64,,0,0,0,,0.0,0.0,0.0
15,1,0,,,DONE_FAIL,275,,1,0,0,,0.0,0.0,0.0
16,1,0,,,DONE_FAIL,268,,1,0,0,,0.0,0.0,0.0
17,1,0,,,DONE_FAIL,353,,1,0,0,,0.0,0.0,0.0
18,1,1,,,DONE_OK,150,,1,0,0,,0.0,0.0,0.0
19,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
20,1,0,,,DONE_FAIL,490,,1,0,0,,0.0,0.0,0.0
21,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
22,1,0,,,DONE_FAIL,317,,1,0,0,,0.0,0.0,0.0
23,1,1,,,DONE_OK,92,,0,0,0,,0.0,0.0,0.0
24,1,1,,,DONE_OK,190,,0,0,0,,0.0,0.0,0.0
25,1,1,,,DONE_OK,225,,0,0,0,,0.0,0.0,0.0
26,1,1,,,DONE_OK,96,,0,0,0,,0.0,0.0,0.0
27,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
28,2,0,,,DONE_FAIL,271,,1,0,0,,0.0,0.0,0.0
29,1,0,,,DONE_FAIL,353,,1,0,0,,0.0,0.0,0.0
30,2,1,,,DONE_OK,88,,0,0,0,,0.0,0.0,0.0
31,1,0,,,DONE_FAIL,434,,2,0,0,,0.0,0.0,0.0
32,1,0,,,DONE_FAIL,40,,0,0,0,,0.0,0.0,0.0
33,1,1,,,DONE_OK,103,,0,0,0,,0.0,0.0,0.0
34,1,1,,,DONE_OK,83,,0,0,0,,0.0,0.0,0.0
35,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
36,1,1,,,DONE_OK,298,,0,0,0,,0.0,0.0,0.0
37,1,1,,,DONE_OK,175,,1,0,0,,0.0,0.0,0.0
38,1,1,,,DONE_OK,54,,0,0,0,,0.0,0.0,0.0
39,1,0,,,DONE_FAIL,368,,1,0,0,,0.0,0.0,0.0
40,1,0,,,DONE_FAIL,425,,1,0,0,,0.0,0.0,0.0
41,1,1,,,DONE_OK,100,,0,0,0,,0.0,0.0,0.0
42,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
43,2,1,,,DONE_OK,94,,0,0,0,,0.0,0.0,0.0
44,1,1,,,DONE_OK,187,,0,0,0,,0.0,0.0,0.0
45,1,0,,,DONE_FAIL,439,,2,0,0,,0.0,0.0,0.0
46,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
47,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
48,1,1,,,DONE_OK,242,,0,0,0,,0.0,0.0,0.0
49,1,1,,,DONE_OK,245,,0,0,0,,0.0,0.0,0.0
50,1,1,,,DONE_OK,316,,0,0,0,,0.0,0.0,0.0
51,1,0,,,DONE_FAIL,351,,1,0,0,,0.0,0.0,0.0
52,1,0,,,DONE_FAIL,326,,1,0,0,,0.0,0.0,0.0
53,1,1,,,DONE_OK,86,,0,0,0,,0.0,0.0,0.0
54,1,0,,,DONE_FAIL,476,,2,0,0,,0.0,0.0,0.0
55,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
56,1,0,,,DONE_FAIL,282,,1,0,0,,0.0,0.0,0.0
57,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
58,1,1,,,DONE_OK,70,,0,0,0,,0.0,0.0,0.0
59,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
60,1,0,,,DONE_FAIL,289,,1,0,0,,0.0,0.0,0.0
61,1,0,,,DONE_FAIL,433,,1,0,0,,0.0,0.0,0.0
62,1,1,,,DONE_OK,81,,0,0,0,,0.0,0.0,0.0
63,1,1,,,DONE_OK,114,,1,0,0,,0.0,0.0,0.0
64,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
65,1,1,,,DONE_OK,82,,0,0,0,,0.0,0.0,0.0
