episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,1,1,0.832,DONE_OK,191,,0,0,0,,0.0,0.0,0.0
1,1,0,1,0.9028,DONE_FAIL,182,,0,0,0,,0.0,0.0,0.0
2,1,1,1,0.8899,DONE_OK,273,,0,0,0,,0.0,0.0,0.0
3,1,1,1,0.8997,DONE_OK,148,,0,0,0,,0.0,0.0,0.0
4,1,1,1,0.8706,DONE_OK,211,,0,0,0,,0.0,0.0,0.0
5,1,1,1,0.9073,DONE_OK,161,,0,0,0,,0.0,0.0,0.0
6,1,1,1,0.8927,DONE_OK,174,,0,0,0,,0.0,0.0,0.0
7,1,1,1,0.8967,DONE_OK,110,,0,0,0,,0.0,0.0,0.0
8,1,0,0,0.9048,DONE_FAIL,314,,0,0,0,,0.0,0.0,0.0
9,1,1,1,0.8685,DONE_OK,175,,0,0,0,,0.0,0.0,0.0
10,1,1,1,0.8816,DONE_OK,153,,0,0,0,,0.0,0.0,0.0
11,1,1,1,0.8348,DONE_OK,127,,0,0,0,,0.0,0.0,0.0
12,1,1,1,0.8471,DONE_OK,113,,0,0,0,,0.0,0.0,0.0
13,1,1,1,0.8928,DONE_OK,151,,0,0,0,,0.0,0.0,0.0
14,1,0,1,0.9006,DONE_FAIL,192,,0,0,0,,0.0,0.0,0.0
15,1,1,1,0.9069,DONE_OK,133,,0,0,0,,0.0,0.0,0.0
16,1,1,1,0.8792,DONE_OK,168,,0,0,0,,0.0,0.0,0.0
17,1,1,1,0.871,DONE_OK,213,,0,0,0,,0.0,0.0,0.0
18,1,1,1,0.8689,DONE_OK,196,,0,0,0,,0.0,0.0,0.0
19,1,0,0,0.0149,DONE_FAIL,235,,0,0,0,,0.0,0.0,0.0
20,1,1,1,0.8882,DONE_OK,154,,0,0,0,,0.0,0.0,0.0
21,1,0,0,1.9833,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
22,1,1,1,0.8507,DONE_OK,129,,0,0,0,,0.0,0.0,0.0
23,1,1,1,0.8715,DONE_OK,176,,0,0,0,,0.0,0.0,0.0
24,1,1,1,0.8979,DONE_OK,150,,0,0,0,,0.0,0.0,0.0
25,1,1,1,0.864,DONE_OK,131,,0,0,0,,0.0,0.0,0.0
26,1,0,1,0.9064,DONE_FAIL,162,,0,0,0,,0.0,0.0,0.0
27,1,1,1,0.8988,DONE_OK,127,,0,0,0,,0.0,0.0,0.0
28,1,1,1,0.8795,DONE_OK,158,,0,0,0,,0.0,0.0,0.0
29,1,0,0,0.6406,DONE_FAIL,264,,0,0,0,,0.0,0.0,0.0
30,1,0,1,0.9062,DONE_FAIL,198,,0,0,0,,0.0,0.0,0.0
31,1,1,1,0.8797,DONE_OK,170,,0,0,0,,0.0,0.0,0.0
32,1,1,1,0.8875,DONE_OK,142,,0,0,0,,0.0,0.0,0.0
33,1,1,1,0.8795,DONE_OK,139,,0,0,0,,0.0,0.0,0.0
34,1,0,0,0.0508,DONE_FAIL,407,,0,0,0,,0.0,0.0,0.0
35,1,1,1,0.8777,DONE_OK,133,,0,0,0,,0.0,0.0,0.0
36,1,1,1,0.9005,DONE_OK,143,,0,0,0,,0.0,0.0,0.0
37,1,1,1,0.8704,DONE_OK,308,,0,0,0,,0.0,0.0,0.0
38,1,0,1,0.904,DONE_FAIL,207,,0,0,0,,0.0,0.0,0.0
39,1,1,1,0.8825,DONE_OK,112,,0,0,0,,0.0,0.0,0.0
40,1,1,1,0.8873,DONE_OK,182,,0,0,0,,0.0,0.0,0.0
41,1,1,1,0.8511,DONE_OK,191,,0,0,0,,0.0,0.0,0.0
42,1,1,1,0.835,DONE_OK,158,,0,0,0,,0.0,0.0,0.0
43,1,1,1,0.8696,DONE_OK,260,,0,0,0,,0.0,0.0,0.0
44,1,0,0,0.3656,DONE_FAIL,294,,0,0,0,,0.0,0.0,0.0
45,1,0,1,0.9044,DONE_FAIL,167,,0,0,0,,0.0,0.0,0.0
46,1,1,1,0.8969,DONE_OK,190,,0,0,0,,0.0,0.0,0.0
47,1,1,1,0.8763,DONE_OK,153,,0,0,0,,0.0,0.0,0.0
