episode,attempts,success,phase,steps,tag,regrasps,unjams,pose_rejects
0,1,0,DONE_FAIL,120,,0,0,0
1,1,1,DONE_OK,219,,0,0,0
2,1,0,DONE_FAIL,300,,0,0,0
3,1,1,DONE_OK,114,,0,0,0
4,1,0,DONE_FAIL,300,,0,0,0
5,1,0,DONE_FAIL,300,,0,0,0
6,1,1,DONE_OK,90,,0,0,0
7,1,1,DONE_OK,101,,0,0,0
8,1,1,DONE_OK,78,,0,0,0
9,1,0,DONE_FAIL,300,,0,0,0
10,1,0,DONE_FAIL,300,,0,0,0
11,1,0,DONE_FAIL,300,,0,0,0
12,1,0,DONE_FAIL,300,,0,0,0
13,1,1,DONE_OK,234,,0,0,0
14,1,0,DONE_FAIL,300,,0,0,0
15,1,1,DONE_OK,133,,0,0,0
16,1,1,DONE_OK,186,,0,0,0
17,1,0,DONE_FAIL,300,,0,0,0
18,1,1,DONE_OK,110,,0,0,0
19,1,1,DONE_OK,89,,0,0,0
20,1,1,DONE_OK,89,,0,0,0
21,1,1,DONE_OK,134,,0,0,0
22,1,0,DONE_FAIL,300,,0,0,0
23,1,0,DONE_FAIL,114,,0,0,0
24,1,0,DONE_FAIL,300,,0,0,0
25,1,0,DONE_FAIL,300,,0,0,0
26,1,1,DONE_OK,155,,0,0,0
27,1,1,DONE_OK,93,,0,0,0
28,1,1,DONE_OK,231,,0,0,0
29,1,1,DONE_OK,67,,0,0,0
30,1,1,DONE_OK,112,,0,0,0
31,1,1,DONE_OK,67,,0,0,0
32,1,0,DONE_FAIL,300,,0,0,0
33,1,1,DONE_OK,161,,0,0,0
34,1,0,DONE_FAIL,300,,0,0,0
35,1,1,DONE_OK,225,,0,0,0
36,1,0,DONE_FAIL,300,,0,0,0
37,1,0,DONE_FAIL,131,,0,0,0
38,1,1,DONE_OK,176,,0,0,0
39,1,0,DONE_FAIL,300,,0,0,0
40,1,0,DONE_FAIL,300,,0,0,0
41,1,1,DONE_OK,80,,0,0,0
42,1,0,DONE_FAIL,300,,0,0,0
43,1,1,DONE_OK,116,,0,0,0
44,1,0,DONE_FAIL,300,,0,0,0
45,1,0,DONE_FAIL,300,,0,0,0
46,1,1,DONE_OK,78,,0,0,0
47,1,1,DONE_OK,172,,0,0,0
48,1,1,DONE_OK,278,,0,0,0
49,1,1,DONE_OK,75,,0,0,0
