episode,attempts,success,phase,steps,tag,regrasps,unjams,pose_rejects
0,1,0,DONE_FAIL,284,,0,0,0
1,1,1,DONE_OK,129,,0,0,0
2,1,1,DONE_OK,302,,0,0,0
3,1,1,DONE_OK,176,,0,0,0
4,1,0,DONE_FAIL,300,,0,0,0
5,1,1,DONE_OK,92,,0,0,0
6,1,0,DONE_FAIL,300,,0,0,0
7,1,1,DONE_OK,82,,0,0,0
8,1,0,DONE_FAIL,258,,0,0,0
9,1,1,DONE_OK,82,,0,0,0
10,1,1,DONE_OK,248,,0,0,0
11,1,0,DONE_FAIL,300,,0,0,0
12,1,0,DONE_FAIL,300,,0,0,0
13,1,1,DONE_OK,114,,0,0,0
14,1,0,TRANSPORT,656,,2,0,0
15,1,0,DONE_FAIL,365,,1,0,0
16,1,0,DONE_FAIL,300,,0,0,0
17,1,0,DONE_FAIL,289,,0,0,0
18,1,0,DONE_FAIL,300,,0,0,0
19,1,1,DONE_OK,232,,0,0,0
20,1,0,DONE_FAIL,300,,0,0,0
21,1,1,DONE_OK,196,,0,0,0
22,1,1,DONE_OK,197,,0,0,0
23,1,1,DONE_OK,330,,1,0,0
24,1,0,DONE_FAIL,128,,0,0,0
25,1,1,DONE_OK,297,,0,0,0
26,1,1,DONE_OK,59,,0,0,0
27,1,1,DONE_OK,164,,0,0,0
28,1,1,DONE_OK,78,,0,0,0
29,1,0,DONE_FAIL,444,,1,0,0
30,1,0,DONE_FAIL,264,,1,0,0
31,1,0,DONE_FAIL,507,,1,0,0
32,1,0,DONE_FAIL,300,,0,0,0
33,1,1,DONE_OK,119,,0,0,0
34,1,1,DONE_OK,245,,0,0,0
35,1,1,DONE_OK,79,,0,0,0
36,1,0,DONE_FAIL,300,,0,0,0
37,1,1,DONE_OK,450,,1,0,0
38,1,1,DONE_OK,81,,0,0,0
39,1,1,DONE_OK,168,,0,0,0
40,1,1,DONE_OK,258,,1,0,0
41,1,1,DONE_OK,152,,0,0,0
42,1,1,DONE_OK,204,,0,0,0
43,1,0,DONE_FAIL,300,,0,0,0
44,1,0,DONE_FAIL,300,,0,0,0
45,1,1,DONE_OK,67,,0,0,0
46,1,0,DONE_FAIL,134,,0,0,0
47,1,0,DONE_FAIL,300,,0,0,0
48,1,0,DONE_FAIL,300,,0,0,0
49,1,0,DONE_FAIL,394,,1,0,0
