drop_step,drop_x,drop_y,drop_z,end_grasped,episode,in_spawn_box,joint_end,margin_10_before,margin_20_before,margin_40_before,margin_5_before,margin_end,margin_min,n_transport_entries,pinned_run_0.02,pinned_run_0.05,regrabbed,regrasps,steps,steps_left,success,tag,tr_len,warn_steps_0.02,warn_steps_0.05
,,,,0,0,,3,1.2732916403269119,0.9717569023448926,0.66005252351288,1.1839295827815315,1.2791879426137016,0.6471787111817493,1,0,0,,0,106,,1,int8,41,0,0
,,,,0,1,,5,1.0239947177318522,0.7838810276245205,nan,1.1754095097141892,1.3170117326655921,0.7185001458466052,1,0,0,,0,91,,1,int8,27,0,0
,,,,0,2,,5,nan,nan,nan,0.37688382746512383,0.5864417513104248,0.3114497683473716,1,0,0,,0,80,,1,int8,8,0,0
,,,,0,3,,3,-0.00018740861390625918,-0.0011005954571917526,nan,-9.657886165341523e-05,-5.2200142364580704e-05,-0.02249172078955882,1,22,23,,0,70,,1,int8,28,22,23
,,,,0,4,,5,nan,nan,nan,0.0059051890658028405,0.0020126890024787514,-0.0003332400301294669,1,0,7,,0,78,,1,int8,7,0,-1
,,,,0,5,,6,1.0258864191856838,0.8162150336926537,nan,1.00439140138249,0.5172496838833762,0.44336152697365083,1,0,0,,0,103,,1,int8,39,0,0
156,0.06587667763233185,-0.25421905517578125,1.4971038103103638,0,6,1,1,-0.000386088760910841,-0.00038633373330743126,-0.0003860226257357269,-0.00038649588781369815,-0.0005737195974175879,-0.002461647649548926,1,181,182,0,1,459,241,0,int8,209,181,182
,,,,0,7,,5,0.19931074508897906,nan,nan,0.39430887809599646,0.6837207193980719,0.03162632728317005,1,0,0,,0,86,,1,int8,16,0,0
,,,,0,8,,6,0.9686154521264466,0.9814583009028067,0.9183170075856584,1.0139550131664756,0.754374818001728,0.40566246262149397,1,0,0,,0,121,,1,int8,59,0,0
41,0.2702220678329468,-0.14220364391803741,1.3633047342300415,0,9,0,1,1.105769739202139,0.8010014590684826,1.217252499942201,1.216795388939342,1.2693244866088722,0.7137747574401354,2,0,0,1,1,205,495,1,int8,68,0,0
,,,,0,10,,5,0.47517023467846353,0.17631403689069947,-0.0018080320180065557,0.647989104369134,0.9815729825492658,-0.0018080320180065557,1,0,0,,0,155,,1,int8,82,0,0
,,,,0,11,,3,0.9247352530981536,1.2479835856075296,0.7252595418837928,0.6896309946988989,0.007683753899297069,0.5352440663592345,1,0,0,,0,89,,1,int8,50,0,0
,,,,0,12,,1,0.12485878791086202,0.14096723499966668,0.40736973025233203,0.1283306370668318,0.21399007131578474,0.050453031745665955,1,0,0,,0,136,,1,int8,67,0,0
