episode,attempts,success,phase,steps,tag,regrasps,unjams,pose_rejects
0,1,1,DONE_OK,222,,0,0,0
1,1,1,DONE_OK,161,,0,0,0
2,1,0,DONE_FAIL,300,,0,0,0
3,1,1,DONE_OK,276,,0,0,0
4,1,1,DONE_OK,139,,0,0,0
5,1,0,DONE_FAIL,300,,0,0,0
6,1,0,DONE_FAIL,300,,0,0,0
7,1,0,DONE_FAIL,300,,0,0,0
8,1,1,DONE_OK,225,,0,0,0
9,1,1,DONE_OK,147,,0,0,0
10,1,0,DONE_FAIL,300,,0,0,0
11,1,0,DONE_FAIL,300,,0,0,0
12,1,0,DONE_FAIL,300,,0,0,0
13,1,0,DONE_FAIL,300,,0,0,0
14,1,1,DONE_OK,257,,0,0,0
15,1,1,DONE_OK,181,,0,0,0
16,1,0,DONE_FAIL,300,,0,0,0
17,1,1,DONE_OK,210,,0,0,0
18,1,0,DONE_FAIL,300,,0,0,0
19,1,1,DONE_OK,207,,0,0,0
20,1,1,DONE_OK,150,,0,0,0
21,1,0,DONE_FAIL,300,,0,0,0
22,1,0,DONE_FAIL,300,,0,0,0
23,1,1,DONE_OK,157,,0,0,0
24,1,1,DONE_OK,209,,0,0,0
25,1,0,DONE_FAIL,300,,0,0,0
26,1,1,DONE_OK,212,,0,0,0
27,1,0,DONE_FAIL,300,,0,0,0
28,1,1,DONE_OK,237,,0,0,0
29,1,0,DONE_FAIL,332,,0,0,0
30,1,1,DONE_OK,265,,0,0,0
31,1,0,DONE_FAIL,300,,0,0,0
32,1,0,DONE_FAIL,300,,0,0,0
33,1,1,DONE_OK,247,,0,0,0
34,1,0,DONE_FAIL,300,,0,0,0
35,1,0,DONE_FAIL,300,,0,0,0
36,1,1,DONE_OK,268,,0,0,0
37,1,0,DONE_FAIL,300,,0,0,0
38,1,0,DONE_FAIL,300,,0,0,0
39,1,0,DONE_FAIL,248,,0,0,0
40,1,0,DONE_FAIL,300,,0,0,0
41,1,1,DONE_OK,265,,0,0,0
42,1,0,DONE_FAIL,300,,0,0,0
43,1,0,DONE_FAIL,407,,0,0,0
44,1,1,DONE_OK,239,,0,0,0
45,1,0,DONE_FAIL,300,,0,0,0
46,1,1,DONE_OK,166,,0,0,0
47,1,0,DONE_FAIL,300,,0,0,0
48,1,0,DONE_FAIL,300,,0,0,0
49,1,0,DONE_FAIL,300,,0,0,0
