episode,mode,success,steps,phase,ticks,detections,truth_fallback_steps,latched
0,latch,1,151,7,31,3,0,1
1,latch,1,139,7,28,5,0,1
2,latch,1,167,7,34,10,0,1
3,latch,1,140,7,28,4,0,1
4,latch,1,137,7,28,6,0,1
5,latch,1,129,7,26,4,0,1
6,latch,1,125,7,25,5,0,1
7,latch,0,136,8,28,1,0,1
8,latch,0,250,8,50,41,0,1
9,latch,0,250,8,50,48,0,1
10,latch,1,100,7,20,4,0,1
11,latch,0,250,8,50,5,0,1
12,latch,1,124,7,25,4,0,1
13,latch,1,148,7,30,4,0,1
14,latch,1,153,7,31,3,0,1
15,latch,1,154,7,31,9,0,1
16,latch,1,155,7,31,5,0,1
17,latch,1,151,7,31,3,0,1
18,latch,1,145,7,29,4,0,1
19,latch,1,131,7,27,12,0,1
20,latch,0,257,8,52,5,0,1
21,latch,0,145,8,29,4,0,1
22,latch,0,317,8,64,4,0,1
23,latch,0,149,8,30,5,0,1
24,latch,1,142,7,29,3,0,1
