episode,mode,success,steps,phase,ticks,detections,truth_fallback_steps,latched
0,latch,1,142,7,29,5,0,1
1,latch,0,250,8,50,50,0,0
2,latch,0,251,8,51,44,0,1
3,latch,1,222,7,45,4,0,1
4,latch,1,142,7,29,6,0,1
5,latch,0,250,8,50,50,0,0
6,latch,0,250,8,50,9,0,1
7,latch,1,128,7,26,2,0,1
8,latch,0,162,8,33,4,0,1
9,latch,1,87,7,18,5,0,1
10,latch,0,250,8,50,48,0,1
11,latch,0,336,8,68,8,0,1
12,latch,0,250,8,50,50,0,0
13,latch,0,250,8,50,48,0,0
14,latch,1,153,7,31,6,0,1
15,latch,0,329,8,66,58,0,1
16,latch,1,125,7,25,8,0,1
17,latch,0,250,8,50,50,0,0
18,latch,0,250,8,50,50,0,0
19,latch,0,133,8,27,5,0,1
20,latch,0,250,8,50,48,0,0
21,latch,0,257,8,52,11,0,1
22,latch,0,250,8,50,48,0,1
23,latch,0,250,8,50,50,0,0
24,latch,0,323,8,65,6,0,1
