episode,mode,success,steps,phase,ticks,detections,truth_fallback_steps,latched
0,recompute,1,265,7,53,28,0,0
1,recompute,0,291,8,59,24,0,0
2,recompute,0,322,8,65,28,0,0
3,recompute,1,236,7,48,25,0,0
4,recompute,1,118,7,24,19,0,0
5,recompute,1,281,7,57,34,0,0
6,recompute,1,105,7,21,19,0,0
7,recompute,0,330,8,66,32,0,0
8,recompute,1,331,7,67,37,0,0
9,recompute,1,123,7,25,20,0,0
10,recompute,0,370,8,74,21,0,0
11,recompute,0,250,8,50,5,0,0
12,recompute,0,350,8,70,19,0,0
13,recompute,1,109,7,22,19,0,0
14,recompute,0,290,8,58,27,0,0
15,recompute,1,125,7,25,24,0,0
16,recompute,0,345,8,69,16,0,0
17,recompute,0,290,8,58,28,0,0
18,recompute,0,408,8,82,34,0,0
19,recompute,1,104,7,21,18,0,0
20,recompute,0,271,8,55,33,0,0
21,recompute,0,634,8,127,72,0,0
22,recompute,1,355,7,71,39,0,0
23,recompute,0,371,8,75,21,0,0
24,recompute,0,420,8,84,66,0,0
