episode,mode,success,steps,phase,ticks,detections,truth_fallback_steps,latched
0,recompute,1,116,7,24,21,0,0
1,recompute,0,250,8,50,50,0,0
2,recompute,0,270,8,54,18,0,0
3,recompute,0,458,8,92,28,0,0
4,recompute,0,393,8,79,7,0,0
5,recompute,0,250,8,50,50,0,0
6,recompute,0,250,8,50,44,0,0
7,recompute,1,140,7,28,18,0,0
8,recompute,0,348,8,70,7,0,0
9,recompute,1,97,7,20,20,0,0
10,recompute,0,250,8,50,13,0,0
11,recompute,0,339,8,68,17,0,0
12,recompute,0,250,8,50,50,0,0
13,recompute,0,250,8,50,48,0,0
14,recompute,1,113,7,23,10,0,0
15,recompute,0,272,8,55,32,0,0
16,recompute,0,414,8,83,11,0,0
17,recompute,0,250,8,50,50,0,0
18,recompute,0,250,8,50,50,0,0
19,recompute,1,124,7,25,24,0,0
20,recompute,0,250,8,50,48,0,0
21,recompute,0,278,8,56,36,0,0
22,recompute,1,256,7,52,43,0,0
23,recompute,0,250,8,50,50,0,0
24,recompute,0,331,8,67,66,0,0
