episode,mode,success,steps,phase,ticks,detections,truth_fallback_steps,latched
0,latch,1,106,7,22,6,0,1
1,latch,1,123,7,25,4,0,1
2,latch,0,250,8,50,48,0,1
3,latch,1,164,7,33,3,0,1
4,latch,1,145,7,29,4,0,1
5,latch,0,299,8,60,54,0,1
6,latch,1,129,7,26,5,0,1
7,latch,1,128,7,26,4,0,1
8,latch,0,310,8,62,56,0,1
9,latch,1,124,7,25,4,0,1
10,latch,1,144,7,29,6,0,1
11,latch,1,147,7,30,3,0,1
12,latch,0,135,8,27,4,0,1
13,latch,1,164,7,33,4,0,1
14,latch,1,162,7,33,17,0,1
15,latch,0,318,8,64,4,0,1
16,latch,1,134,7,27,13,0,1
17,latch,1,129,7,26,3,0,1
18,latch,0,148,8,30,7,0,1
19,latch,1,126,7,26,10,0,1
20,latch,0,312,8,63,4,0,1
21,latch,0,261,8,53,3,0,1
22,latch,1,119,7,24,18,0,1
23,latch,1,162,7,33,3,0,1
24,latch,1,156,7,32,4,0,1
25,latch,1,136,7,28,23,0,1
26,latch,1,140,7,28,4,0,1
27,latch,1,131,7,27,10,0,1
28,latch,0,141,8,29,4,0,1
29,latch,1,129,7,26,3,0,1
30,latch,0,250,8,50,47,0,1
31,latch,0,142,8,29,5,0,1
32,latch,1,145,7,29,5,0,1
33,latch,1,133,7,27,20,0,1
34,latch,0,151,8,31,6,0,1
35,latch,0,250,8,50,49,0,0
36,latch,1,137,7,28,4,0,1
37,latch,1,136,7,28,5,0,1
38,latch,0,250,8,50,48,0,1
39,latch,1,136,7,28,4,0,1
40,latch,1,148,7,30,29,0,1
41,latch,0,335,8,67,6,0,1
42,latch,1,146,7,30,3,0,1
43,latch,1,158,7,32,17,0,1
44,latch,1,134,7,27,3,0,1
45,latch,1,92,7,19,3,0,1
46,latch,1,174,7,35,10,0,1
47,latch,1,158,7,32,4,0,1
48,latch,1,148,7,30,5,0,1
49,latch,1,116,7,24,4,0,1
