episode,mode,success,steps,phase,ticks,detections,truth_fallback_steps,latched
0,latch,1,162,7,33,3,0,1
1,latch,1,151,7,31,4,0,1
2,latch,1,148,7,30,8,0,1
3,latch,1,172,7,35,7,0,1
4,latch,1,108,7,22,5,0,1
5,latch,1,151,7,31,4,0,1
6,latch,1,140,7,28,3,0,1
7,latch,1,132,7,27,6,0,1
8,latch,0,250,8,50,48,0,1
9,latch,1,130,7,26,4,0,1
10,latch,0,181,8,37,14,0,1
11,latch,1,92,7,19,4,0,1
12,latch,1,157,7,32,4,0,1
13,latch,1,133,7,27,4,0,1
14,latch,0,339,8,68,4,0,1
15,latch,1,138,7,28,3,0,1
16,latch,1,143,7,29,3,0,1
17,latch,1,145,7,29,28,0,1
18,latch,1,147,7,30,5,0,1
19,latch,1,142,7,29,4,0,1
20,latch,1,105,7,21,4,0,1
21,latch,0,253,8,51,49,0,1
22,latch,1,139,7,28,6,0,1
23,latch,1,152,7,31,5,0,1
24,latch,1,173,7,35,4,0,1
25,latch,1,159,7,32,18,0,1
26,latch,1,152,7,31,4,0,1
27,latch,1,157,7,32,3,0,1
28,latch,1,144,7,29,6,0,1
29,latch,0,125,8,25,8,0,1
30,latch,0,250,8,50,48,0,1
31,latch,1,127,7,26,4,0,1
32,latch,0,311,8,63,54,0,1
33,latch,1,137,7,28,4,0,1
34,latch,0,375,8,75,49,0,1
35,latch,1,152,7,31,3,0,1
36,latch,1,126,7,26,5,0,1
37,latch,0,142,8,29,4,0,1
38,latch,1,151,7,31,5,0,1
39,latch,1,129,7,26,8,0,1
40,latch,1,151,7,31,2,0,1
41,latch,1,149,7,30,4,0,1
42,latch,0,269,8,54,5,0,1
43,latch,0,259,8,52,3,0,1
44,latch,1,130,7,26,4,0,1
45,latch,1,153,7,31,6,0,1
46,latch,0,258,8,52,47,0,1
47,latch,1,130,7,26,3,0,1
48,latch,0,163,8,33,6,0,1
49,latch,1,138,7,28,4,0,1
