episode,mode,success,steps,phase,ticks,detections,truth_fallback_steps,latched
0,latch,1,134,7,27,4,0,1
1,latch,1,154,7,31,4,0,1
2,latch,1,166,7,34,11,0,1
3,latch,1,88,7,18,4,0,1
4,latch,1,155,7,31,29,0,1
5,latch,1,158,7,32,18,0,1
6,latch,1,150,7,30,4,0,1
7,latch,1,154,7,31,3,0,1
8,latch,1,159,7,32,3,0,1
9,latch,1,142,7,29,3,0,1
10,latch,1,145,7,29,3,0,1
11,latch,1,143,7,29,11,0,1
12,latch,1,156,7,32,5,0,1
13,latch,1,148,7,30,3,0,1
14,latch,1,170,7,34,3,0,1
15,latch,1,150,7,30,3,0,1
16,latch,0,121,8,25,4,0,1
17,latch,1,144,7,29,5,0,1
18,latch,1,131,7,27,4,0,1
19,latch,1,117,7,24,4,0,1
20,latch,1,165,7,33,26,0,1
21,latch,1,103,7,21,4,0,1
22,latch,0,317,8,64,54,0,1
23,latch,1,138,7,28,3,0,1
24,latch,1,129,7,26,4,0,1
25,latch,0,328,8,66,34,0,1
26,latch,0,177,8,36,4,0,1
27,latch,1,142,7,29,4,0,1
28,latch,1,143,7,29,3,0,1
29,latch,1,162,7,33,4,0,1
30,latch,1,162,7,33,15,0,1
31,latch,1,138,7,28,4,0,1
32,latch,1,154,7,31,4,0,1
33,latch,1,155,7,31,6,0,1
34,latch,1,132,7,27,5,0,1
35,latch,1,147,7,30,3,0,1
36,latch,1,176,7,36,3,0,1
37,latch,1,136,7,28,4,0,1
38,latch,1,127,7,26,5,0,1
39,latch,1,107,7,22,6,0,1
40,latch,1,166,7,34,5,0,1
41,latch,0,347,8,70,14,0,1
42,latch,0,352,8,71,3,0,1
43,latch,1,106,7,22,19,0,1
44,latch,1,141,7,29,3,0,1
45,latch,1,159,7,32,4,0,1
46,latch,1,97,7,20,5,0,1
47,latch,1,142,7,29,25,0,1
48,latch,1,136,7,28,5,0,1
49,latch,1,159,7,32,29,0,1
