episode,mode,success,steps,phase,ticks,detections,truth_fallback_steps,latched
0,latch,1,153,7,153,20,0,1
1,latch,1,121,7,121,23,0,1
2,latch,0,251,8,251,226,0,1
3,latch,1,176,7,176,16,0,1
4,latch,0,264,8,264,39,0,1
5,latch,1,128,7,128,101,0,1
6,latch,1,137,7,137,24,0,1
7,latch,0,136,8,136,1,0,1
8,latch,0,126,8,126,16,0,1
9,latch,0,250,8,250,16,0,1
10,latch,1,100,7,100,20,0,1
11,latch,1,123,7,123,18,0,1
12,latch,1,129,7,129,20,0,1
13,latch,1,139,7,139,19,0,1
14,latch,1,153,7,153,12,0,1
15,latch,1,145,7,145,15,0,1
16,latch,1,156,7,156,22,0,1
17,latch,1,151,7,151,13,0,1
18,latch,1,167,7,167,17,0,1
19,latch,1,131,7,131,39,0,1
20,latch,0,263,8,263,16,0,1
21,latch,0,145,8,145,18,0,1
22,latch,0,362,8,362,16,0,1
23,latch,1,145,7,145,20,0,1
24,latch,1,156,7,156,20,0,1
