episode,mode,success,steps,phase,ticks,detections,truth_fallback_steps,latched
0,latch,1,87,7,18,5,0,1
1,latch,1,125,7,25,3,0,1
2,latch,1,160,7,32,4,0,1
3,latch,1,137,7,28,3,0,1
4,latch,1,151,7,31,8,0,1
5,latch,1,127,7,26,4,0,1
6,latch,1,163,7,33,4,0,1
7,latch,0,260,8,52,47,0,1
8,latch,1,133,7,27,4,0,1
9,latch,1,141,7,29,3,0,1
10,latch,0,142,8,29,4,0,1
11,latch,1,114,7,23,6,0,1
12,latch,1,134,7,27,3,0,1
13,latch,1,135,7,27,4,0,1
14,latch,0,319,8,64,8,0,1
15,latch,0,347,8,70,27,0,1
16,latch,1,131,7,27,4,0,1
17,latch,1,241,7,49,27,0,1
18,latch,1,150,7,30,4,0,1
19,latch,0,250,8,50,48,0,1
20,latch,1,134,7,27,5,0,1
21,latch,1,148,7,30,3,0,1
22,latch,0,141,8,29,4,0,1
23,latch,1,128,7,26,5,0,1
24,latch,0,261,8,53,4,0,1
25,latch,1,136,7,28,5,0,1
26,latch,1,148,7,30,3,0,1
27,latch,1,162,7,33,23,0,1
28,latch,1,105,7,21,19,0,1
29,latch,1,140,7,28,3,0,1
30,latch,1,141,7,29,4,0,1
31,latch,1,153,7,31,4,0,1
32,latch,1,127,7,26,4,0,1
33,latch,1,132,7,27,5,0,1
34,latch,1,126,7,26,4,0,1
35,latch,1,138,7,28,4,0,1
36,latch,0,250,8,50,46,0,1
37,latch,0,270,8,54,46,0,1
38,latch,1,146,7,30,5,0,1
39,latch,1,152,7,31,3,0,1
40,latch,0,250,8,50,48,0,1
41,latch,1,129,7,26,22,0,1
42,latch,1,159,7,32,17,0,1
43,latch,1,165,7,33,18,0,1
44,latch,1,132,7,27,4,0,1
45,latch,1,162,7,33,7,0,1
46,latch,1,165,7,33,4,0,1
47,latch,0,250,8,50,48,0,1
48,latch,0,250,8,50,47,0,1
49,latch,1,125,7,25,3,0,1
