episode,mode,success,steps,phase,ticks,detections,truth_fallback_steps,latched
0,latch,1,151,7,31,7,0,1
1,latch,1,185,7,37,7,0,1
2,latch,0,120,8,24,3,0,1
3,latch,0,147,8,30,4,0,1
4,latch,1,125,7,25,21,0,1
5,latch,1,132,7,27,5,0,1
6,latch,1,116,7,24,5,0,1
7,latch,1,129,7,26,1,0,1
8,latch,0,137,8,28,4,0,1
9,latch,0,263,8,53,3,0,1
10,latch,1,133,7,27,5,0,1
11,latch,1,153,7,31,5,0,1
12,latch,1,165,7,33,5,0,1
13,latch,1,146,7,30,5,0,1
14,latch,1,151,7,31,3,0,1
15,latch,1,156,7,32,3,0,1
16,latch,1,152,7,31,4,0,1
17,latch,1,152,7,31,3,0,1
18,latch,1,143,7,29,4,0,1
19,latch,1,132,7,27,20,0,1
20,latch,1,160,7,32,3,0,1
21,latch,0,141,8,29,4,0,1
22,latch,1,135,7,27,4,0,1
23,latch,0,133,8,27,7,0,1
24,latch,1,142,7,29,6,0,1
25,latch,1,105,7,21,4,0,1
26,latch,1,124,7,25,4,0,1
27,latch,0,317,8,64,3,0,1
28,latch,0,150,8,30,4,0,1
29,latch,1,148,7,30,13,0,1
30,latch,1,134,7,27,24,0,1
31,latch,0,250,8,50,13,0,0
32,latch,1,138,7,28,4,0,1
33,latch,1,93,7,19,3,0,1
34,latch,0,160,8,32,4,0,1
35,latch,1,113,7,23,5,0,1
36,latch,1,117,7,24,4,0,1
37,latch,1,152,7,31,4,0,1
38,latch,1,130,7,26,4,0,1
39,latch,1,139,7,28,3,0,1
40,latch,1,126,7,26,4,0,1
41,latch,1,150,7,30,14,0,1
42,latch,1,157,7,32,4,0,1
43,latch,1,141,7,29,3,0,1
44,latch,1,131,7,27,4,0,1
45,latch,1,155,7,31,3,0,1
46,latch,1,155,7,31,4,0,1
47,latch,1,152,7,31,4,0,1
48,latch,1,155,7,31,4,0,1
49,latch,0,131,8,27,5,0,1
