episode,mode,success,steps,phase,ticks,detections,truth_fallback_steps,latched
0,latch,1,123,7,25,4,0,1
1,latch,1,148,7,30,4,0,1
2,latch,0,250,8,50,48,0,1
3,latch,1,167,7,34,3,0,1
4,latch,1,145,7,29,4,0,1
5,latch,1,131,7,27,3,0,1
6,latch,0,156,8,32,4,0,1
7,latch,1,155,7,31,4,0,1
8,latch,1,133,7,27,17,0,1
9,latch,1,97,7,20,3,0,1
10,latch,0,101,8,21,5,0,1
11,latch,1,148,7,30,3,0,1
12,latch,1,119,7,24,4,0,1
13,latch,1,163,7,33,5,0,1
14,latch,1,112,7,23,6,0,1
15,latch,0,315,8,63,48,0,1
16,latch,1,155,7,31,8,0,1
17,latch,1,144,7,29,27,0,1
18,latch,0,352,8,71,64,0,1
19,latch,1,114,7,23,3,0,1
20,latch,1,92,7,19,4,0,1
21,latch,0,250,8,50,46,0,1
22,latch,1,133,7,27,11,0,1
23,latch,1,161,7,33,4,0,1
24,latch,1,107,7,22,4,0,1
25,latch,0,150,8,30,22,0,1
26,latch,1,156,7,32,4,0,1
27,latch,1,134,7,27,7,0,1
28,latch,1,134,7,27,6,0,1
29,latch,1,130,7,26,3,0,1
30,latch,0,314,8,63,9,0,1
31,latch,1,129,7,26,4,0,1
32,latch,1,161,7,33,7,0,1
33,latch,1,132,7,27,24,0,1
34,latch,1,127,7,26,4,0,1
35,latch,0,250,8,50,49,0,1
36,latch,1,149,7,30,3,0,1
37,latch,0,349,8,70,5,0,1
38,latch,0,143,8,29,15,0,1
39,latch,1,136,7,28,3,0,1
40,latch,0,300,8,60,57,0,1
41,latch,1,140,7,28,6,0,1
42,latch,1,147,7,30,3,0,1
43,latch,1,157,7,32,4,0,1
44,latch,1,184,7,37,3,0,1
45,latch,1,92,7,19,3,0,1
46,latch,1,160,7,32,22,0,1
47,latch,1,159,7,32,4,0,1
48,latch,1,138,7,28,17,0,1
49,latch,1,118,7,24,4,0,1
