episode,mode,success,steps,phase,ticks,detections,truth_fallback_steps,latched
0,latch,0,145,8,29,4,0,1
1,latch,1,163,7,33,4,0,1
2,latch,1,155,7,31,9,0,1
3,latch,1,152,7,31,3,0,1
4,latch,1,136,7,28,3,0,1
5,latch,1,143,7,29,5,0,1
6,latch,1,145,7,29,4,0,1
7,latch,1,126,7,26,5,0,1
8,latch,1,152,7,31,4,0,1
9,latch,1,130,7,26,4,0,1
10,latch,1,147,7,30,7,0,1
11,latch,1,140,7,28,3,0,1
12,latch,1,156,7,32,4,0,1
13,latch,1,124,7,25,9,0,1
14,latch,1,128,7,26,7,0,1
15,latch,1,164,7,33,3,0,1
16,latch,1,126,7,26,7,0,1
17,latch,1,140,7,28,4,0,1
18,latch,1,144,7,29,8,0,1
19,latch,1,136,7,28,3,0,1
20,latch,1,92,7,19,3,0,1
21,latch,1,172,7,35,22,0,1
22,latch,0,148,8,30,11,0,1
23,latch,1,125,7,25,4,0,1
24,latch,1,166,7,34,5,0,1
25,latch,1,169,7,34,5,0,1
26,latch,1,161,7,33,4,0,1
27,latch,1,109,7,22,6,0,1
28,latch,1,155,7,31,12,0,1
29,latch,1,103,7,21,3,0,1
30,latch,1,136,7,28,4,0,1
31,latch,1,83,7,17,3,0,1
32,latch,1,112,7,23,3,0,1
33,latch,1,145,7,29,3,0,1
34,latch,1,146,7,30,3,0,1
35,latch,1,171,7,35,7,0,1
36,latch,1,132,7,27,3,0,1
37,latch,1,106,7,22,4,0,1
38,latch,1,149,7,30,3,0,1
39,latch,1,109,7,22,4,0,1
40,latch,1,134,7,27,4,0,1
41,latch,1,131,7,27,4,0,1
42,latch,0,134,8,27,5,0,1
43,latch,1,136,7,28,3,0,1
44,latch,1,147,7,30,3,0,1
45,latch,1,139,7,28,10,0,1
46,latch,1,101,7,21,4,0,1
47,latch,1,156,7,32,4,0,1
48,latch,1,143,7,29,12,0,1
49,latch,1,131,7,27,4,0,1
