episode,mode,success,steps,phase,ticks,detections,truth_fallback_steps,latched
0,latch,0,191,8,1,1,0,1
1,latch,1,165,7,3,1,2,1
2,latch,1,134,7,1,1,0,1
3,latch,0,342,8,3,1,2,1
4,latch,1,162,7,1,1,0,1
5,latch,0,250,8,1,1,0,1
6,latch,1,166,7,1,1,0,1
7,latch,1,107,7,2,1,1,1
8,latch,1,154,7,1,1,0,1
9,latch,0,163,8,1,1,0,1
10,latch,0,258,8,3,1,2,1
11,latch,1,160,7,1,1,0,1
12,latch,0,250,8,1,1,0,0
13,latch,1,147,7,1,1,0,1
14,latch,1,141,7,1,1,0,1
15,latch,1,132,7,1,1,0,1
16,latch,1,156,7,1,1,0,1
17,latch,1,128,7,1,1,0,1
18,latch,1,156,7,1,1,0,1
19,latch,1,119,7,1,1,0,1
20,latch,1,156,7,2,1,1,1
21,latch,0,253,8,1,1,0,1
22,latch,1,135,7,1,1,0,1
23,latch,1,171,7,3,1,2,1
24,latch,1,133,7,3,1,2,1
25,latch,1,154,7,1,1,0,1
26,latch,1,138,7,1,1,0,1
27,latch,1,137,7,1,1,0,1
28,latch,0,250,8,1,1,0,0
29,latch,1,91,7,1,1,0,1
30,latch,1,151,7,1,1,0,1
31,latch,1,156,7,3,1,2,1
32,latch,1,155,7,1,1,0,1
33,latch,1,138,7,1,1,0,1
34,latch,0,348,8,2,1,1,1
35,latch,1,176,7,1,1,0,1
36,latch,1,131,7,1,1,0,1
37,latch,0,127,8,3,1,2,1
38,latch,1,142,7,1,1,0,1
39,latch,1,128,7,1,1,0,1
40,latch,1,148,7,1,1,0,1
41,latch,1,150,7,1,1,0,1
42,latch,0,253,8,1,1,0,1
43,latch,1,121,7,1,1,0,1
44,latch,1,163,7,5,1,4,1
45,latch,1,153,7,1,1,0,1
46,latch,1,160,7,1,1,0,1
47,latch,1,146,7,1,1,0,1
48,latch,1,154,7,1,1,0,1
49,latch,0,135,8,1,1,0,1
