episode,mode,success,steps,phase,ticks,detections,truth_fallback_steps,latched
0,latch,1,144,7,1,1,0,1
1,latch,1,142,7,1,1,0,1
2,latch,1,131,7,1,1,0,1
3,latch,1,162,7,1,1,0,1
4,latch,1,133,7,1,1,0,1
5,latch,1,127,7,1,1,0,1
6,latch,1,135,7,1,1,0,1
7,latch,1,169,7,3,1,2,1
8,latch,0,346,8,1,1,0,1
9,latch,1,143,7,1,1,0,1
10,latch,1,145,7,1,1,0,1
11,latch,1,116,7,2,1,1,1
12,latch,1,134,7,134,0,134,0
13,latch,1,146,7,1,1,0,1
14,latch,1,136,7,1,1,0,1
15,latch,1,165,7,3,1,2,1
16,latch,1,164,7,2,1,1,1
17,latch,1,89,7,1,1,0,1
18,latch,1,158,7,1,1,0,1
19,latch,1,153,7,1,1,0,1
20,latch,1,161,7,1,1,0,1
21,latch,1,137,7,3,1,2,1
22,latch,1,140,7,3,1,2,1
23,latch,1,163,7,1,1,0,1
24,latch,1,167,7,167,0,167,0
25,latch,1,159,7,1,1,0,1
26,latch,1,129,7,1,1,0,1
27,latch,1,131,7,1,1,0,1
28,latch,0,136,8,2,1,1,1
29,latch,1,92,7,1,1,0,1
30,latch,1,139,7,2,1,1,1
31,latch,1,141,7,1,1,0,1
32,latch,1,163,7,1,1,0,1
33,latch,1,160,7,1,1,0,1
34,latch,1,160,7,1,1,0,1
35,latch,1,141,7,1,1,0,1
36,latch,1,145,7,1,1,0,1
37,latch,0,250,8,1,1,0,0
38,latch,1,139,7,1,1,0,1
39,latch,1,156,7,1,1,0,1
40,latch,0,261,8,1,1,0,1
41,latch,0,194,8,2,1,1,1
42,latch,1,159,7,1,1,0,1
43,latch,1,129,7,1,1,0,1
44,latch,1,127,7,1,1,0,1
45,latch,1,138,7,1,1,0,1
46,latch,1,147,7,4,1,3,1
47,latch,1,148,7,1,1,0,1
48,latch,1,147,7,1,1,0,1
49,latch,0,347,8,1,1,0,1
