episode,mode,success,steps,phase,ticks,detections,truth_fallback_steps,latched
0,latch,1,154,7,1,1,0,1
1,latch,1,100,7,1,1,0,1
2,latch,1,123,7,123,0,123,0
3,latch,1,162,7,2,1,1,1
4,latch,1,149,7,1,1,0,1
5,latch,1,166,7,3,1,2,1
6,latch,1,125,7,1,1,0,1
7,latch,0,330,8,1,1,0,1
8,latch,0,153,8,3,1,2,1
9,latch,0,205,8,1,1,0,1
10,latch,1,155,7,3,1,2,1
11,latch,1,145,7,1,1,0,1
12,latch,1,148,7,1,1,0,1
13,latch,1,147,7,1,1,0,1
14,latch,1,164,7,164,0,164,0
15,latch,1,170,7,170,0,170,0
16,latch,1,150,7,150,0,150,0
17,latch,1,150,7,1,1,0,1
18,latch,1,158,7,1,1,0,1
19,latch,1,143,7,1,1,0,1
20,latch,1,140,7,1,1,0,1
21,latch,1,154,7,1,1,0,1
22,latch,1,125,7,1,1,0,1
23,latch,1,152,7,2,1,1,1
24,latch,1,149,7,1,1,0,1
25,latch,1,157,7,1,1,0,1
26,latch,1,154,7,3,1,2,1
27,latch,1,158,7,3,1,2,1
28,latch,1,115,7,1,1,0,1
29,latch,1,151,7,1,1,0,1
30,latch,1,151,7,1,1,0,1
31,latch,1,126,7,1,1,0,1
32,latch,1,157,7,1,1,0,1
33,latch,1,146,7,1,1,0,1
34,latch,1,154,7,1,1,0,1
35,latch,1,150,7,1,1,0,1
36,latch,1,144,7,1,1,0,1
37,latch,1,132,7,1,1,0,1
38,latch,1,157,7,1,1,0,1
39,latch,1,138,7,138,0,138,0
40,latch,1,142,7,1,1,0,1
41,latch,1,156,7,1,1,0,1
42,latch,1,167,7,3,1,2,1
43,latch,1,154,7,1,1,0,1
44,latch,1,152,7,152,0,152,0
45,latch,1,161,7,1,1,0,1
46,latch,1,131,7,1,1,0,1
47,latch,1,121,7,121,0,121,0
48,latch,1,158,7,1,1,0,1
49,latch,1,161,7,3,1,2,1
