episode,align_deg,lifted,dropped
0,4.19,1,1
1,-21.46,1,0
2,26.24,1,1
3,-20.46,1,1
4,9.14,1,1
5,13.63,1,1
6,-38.99,1,1
7,-27.19,1,1
8,-3.85,1,1
9,-16.73,1,0
10,-8.12,1,1
11,-5.61,1,1
12,-30.56,1,1
13,2.81,1,1
14,-1.55,1,1
15,20.25,1,1
16,-36.34,1,0
17,-13.67,1,1
18,33.19,1,1
19,-35.44,1,1
20,17.14,1,1
21,-37.52,1,1
22,-25.48,1,1
23,18.92,1,1
24,-1.47,1,1
25,-2.67,1,1
26,42.71,1,1
27,-17.5,1,1
28,-10.65,1,1
29,-1.08,1,1
30,39.02,1,1
31,3.33,1,1
32,-36.44,1,0
33,-12.81,1,1
34,0.9,1,1
35,-36.46,1,1
36,34.77,1,1
37,-16.86,1,1
38,-5.43,1,1
39,-1.61,1,1
40,42.73,1,1
41,27.86,1,1
42,-21.33,1,1
43,-8.13,1,1
44,17.13,1,1
45,11.05,1,1
46,-4.7,1,1
47,-29.16,1,1
48,-31.97,1,0
49,-33.58,1,1
