episode,align_deg,lifted,dropped
0,43.69,1,0
1,-16.58,1,1
2,33.5,1,1
3,-7.27,1,1
4,-18.65,1,1
5,42.56,1,1
6,-26.71,1,1
7,44.59,1,1
8,-42.61,1,1
9,-4.7,1,1
10,-39.99,1,1
11,31.04,1,1
12,-26.58,1,1
13,-24.37,1,1
14,40.12,1,1
15,14.78,1,1
16,10.69,1,1
17,3.42,1,1
18,5.97,1,0
19,24.67,1,0
20,23.88,1,0
21,-32.24,1,1
22,-28.98,1,1
23,39.96,1,1
24,8.55,1,1
25,2.99,1,1
26,-24.67,1,1
27,-2.94,1,1
28,21.96,1,1
29,-21.33,1,0
30,-34.43,1,1
31,13.21,1,0
32,12.01,1,1
33,-32.87,1,0
34,40.59,1,1
35,-5.06,1,1
36,3.67,1,1
37,-2.03,1,1
38,-35.95,1,1
39,-19.89,1,1
40,-32.44,1,0
41,4.44,1,1
42,-17.45,1,1
43,24.05,1,1
44,-7.07,1,1
45,2.2,1,1
46,6.93,1,0
47,-16.27,1,1
48,17.69,1,1
49,12.16,1,1
