Episode 20050 | Score:  238.558 | Avg:  204.805 | Best:  434.866 | Buf: 4,000,000

Episode 20100 | Score:  243.055 | Avg:  204.182 | Best:  434.866 | Buf: 4,000,000

Episode 20150 | Score:  186.149 | Avg:  218.771 | Best:  434.866 | Buf: 4,000,000

Episode 20200 | Score:  233.489 | Avg:  219.355 | Best:  434.866 | Buf: 4,000,000

Episode 20250 | Score:  219.392 | Avg:  211.149 | Best:  434.866 | Buf: 4,000,000

Episode 20300 | Score:  221.713 | Avg:  213.802 | Best:  434.866 | Buf: 4,000,000

Episode 20350 | Score:  231.957 | Avg:  220.352 | Best:  434.866 | Buf: 4,000,000

Episode 20400 | Score:  226.965 | Avg:  219.584 | Best:  434.866 | Buf: 4,000,000

Episode 20450 | Score:   27.538 | Avg:  215.801 | Best:  434.866 | Buf: 4,000,000

Episode 20500 | Score:  221.481 | Avg:  207.933 | Best:  434.866 | Buf: 4,000,000



  Checkpoint at ep 20500: Avg=207.933, Buffer=4,000,000



Episode 20550 | Score:  234.352 | Avg:  210.218 | Best:  434.866 | Buf: 4,000,000

Episode 20600 | Score:  216.049 | Avg:  213.287 | Best:  434.866 | Buf: 4,000,000

Episode 20650 | Score:  236.799 | Avg:  217.504 | Best:  434.866 | Buf: 4,000,000

Episode 20700 | Score:  234.138 | Avg:  223.995 | Best:  434.866 | Buf: 4,000,000

Episode 20750 | Score:  235.169 | Avg:  218.726 | Best:  434.866 | Buf: 4,000,000

Episode 20800 | Score:  239.295 | Avg:  216.422 | Best:  434.866 | Buf: 4,000,000

Episode 20850 | Score:  238.577 | Avg:  223.667 | Best:  434.866 | Buf: 4,000,000

Episode 20900 | Score:  236.063 | Avg:  224.998 | Best:  434.866 | Buf: 4,000,000

Episode 20950 | Score:  238.945 | Avg:  223.941 | Best:  434.866 | Buf: 4,000,000

Episode 21000 | Score:  240.421 | Avg:  227.138 | Best:  434.866 | Buf: 4,000,000



  Checkpoint at ep 21000: Avg=227.138, Buffer=4,000,000



Episode 21050 | Score:  240.840 | Avg:  220.504 | Best:  434.866 | Buf: 4,000,000

Episode 21100 | Score:  239.514 | Avg:  212.312 | Best:  434.866 | Buf: 4,000,000

Episode 21150 | Score:  241.632 | Avg:  208.414 | Best:  434.866 | Buf: 4,000,000

Episode 21200 | Score:  224.835 | Avg:  205.285 | Best:  434.866 | Buf: 4,000,000

Episode 21250 | Score:  227.942 | Avg:  212.610 | Best:  434.866 | Buf: 4,000,000

Episode 21300 | Score:  244.238 | Avg:  224.486 | Best:  434.866 | Buf: 4,000,000

Episode 21350 | Score:  220.711 | Avg:  224.733 | Best:  434.866 | Buf: 4,000,000

Episode 21400 | Score:  237.517 | Avg:  225.199 | Best:  434.866 | Buf: 4,000,000

Episode 21450 | Score:  241.621 | Avg:  226.142 | Best:  434.866 | Buf: 4,000,000

Episode 21500 | Score:  237.613 | Avg:  228.225 | Best:  434.866 | Buf: 4,000,000



  Checkpoint at ep 21500: Avg=228.225, Buffer=4,000,000



Episode 21550 | Score:  239.530 | Avg:  232.278 | Best:  434.866 | Buf: 4,000,000

Episode 21600 | Score:  245.018 | Avg:  230.387 | Best:  434.866 | Buf: 4,000,000

Episode 21650 | Score:  185.845 | Avg:  223.660 | Best:  434.866 | Buf: 4,000,000

Episode 21700 | Score:  236.553 | Avg:  217.458 | Best:  434.866 | Buf: 4,000,000

Episode 21750 | Score:  245.439 | Avg:  211.986 | Best:  434.866 | Buf: 4,000,000

Episode 21800 | Score:  244.614 | Avg:  211.595 | Best:  434.866 | Buf: 4,000,000

Episode 21850 | Score:  225.057 | Avg:  214.139 | Best:  434.866 | Buf: 4,000,000

Episode 21900 | Score:  226.337 | Avg:  212.863 | Best:  434.866 | Buf: 4,000,000

Episode 21950 | Score:  243.436 | Avg:  222.101 | Best:  434.866 | Buf: 4,000,000

Episode 22000 | Score:  244.079 | Avg:  224.101 | Best:  434.866 | Buf: 4,000,000



  Checkpoint at ep 22000: Avg=224.101, Buffer=4,000,000



Episode 22050 | Score:  241.542 | Avg:  221.622 | Best:  434.866 | Buf: 4,000,000

Episode 22100 | Score:  237.764 | Avg:  224.233 | Best:  434.866 | Buf: 4,000,000

Episode 22150 | Score:   18.572 | Avg:  221.720 | Best:  434.866 | Buf: 4,000,000

Episode 22200 | Score:    4.389 | Avg:  217.247 | Best:  434.866 | Buf: 4,000,000

Episode 22250 | Score:  244.813 | Avg:  211.730 | Best:  434.866 | Buf: 4,000,000

Episode 22300 | Score:  244.816 | Avg:  214.478 | Best:  434.866 | Buf: 4,000,000

Episode 22350 | Score:  216.572 | Avg:  221.150 | Best:  434.866 | Buf: 4,000,000

Episode 22400 | Score:  243.698 | Avg:  223.284 | Best:  434.866 | Buf: 4,000,000

Episode 22450 | Score:  199.115 | Avg:  220.564 | Best:  434.866 | Buf: 4,000,000

Episode 22500 | Score:  239.604 | Avg:  216.636 | Best:  434.866 | Buf: 4,000,000



  Checkpoint at ep 22500: Avg=216.636, Buffer=4,000,000



Episode 22550 | Score:  189.628 | Avg:  220.562 | Best:  434.866 | Buf: 4,000,000

Episode 22600 | Score:  235.070 | Avg:  226.497 | Best:  434.866 | Buf: 4,000,000

Episode 22650 | Score:  244.152 | Avg:  226.416 | Best:  434.866 | Buf: 4,000,000

Episode 22700 | Score:  217.213 | Avg:  226.166 | Best:  434.866 | Buf: 4,000,000

Episode 22750 | Score:  240.245 | Avg:  221.421 | Best:  434.866 | Buf: 4,000,000

Episode 22800 | Score:  212.046 | Avg:  221.089 | Best:  434.866 | Buf: 4,000,000

Episode 22850 | Score:  228.638 | Avg:  221.802 | Best:  434.866 | Buf: 4,000,000

Episode 22900 | Score:  219.608 | Avg:  213.393 | Best:  434.866 | Buf: 4,000,000

Episode 22950 | Score:  234.407 | Avg:  214.509 | Best:  434.866 | Buf: 4,000,000

Episode 23000 | Score:  234.580 | Avg:  218.497 | Best:  434.866 | Buf: 4,000,000



  Checkpoint at ep 23000: Avg=218.497, Buffer=4,000,000



Episode 23050 | Score:  240.499 | Avg:  219.367 | Best:  434.866 | Buf: 4,000,000

Episode 23100 | Score:  243.350 | Avg:  223.313 | Best:  434.866 | Buf: 4,000,000

Episode 23150 | Score:  242.330 | Avg:  226.333 | Best:  434.866 | Buf: 4,000,000

Episode 23200 | Score:  241.277 | Avg:  227.217 | Best:  434.866 | Buf: 4,000,000

Episode 23250 | Score:  241.825 | Avg:  225.742 | Best:  434.866 | Buf: 4,000,000

Episode 23300 | Score:  237.701 | Avg:  225.982 | Best:  434.866 | Buf: 4,000,000

Episode 23350 | Score:   32.344 | Avg:  224.938 | Best:  434.866 | Buf: 4,000,000

Episode 23400 | Score:  203.023 | Avg:  222.754 | Best:  434.866 | Buf: 4,000,000

Episode 23450 | Score:   28.200 | Avg:  220.990 | Best:  434.866 | Buf: 4,000,000

Episode 23500 | Score:  242.822 | Avg:  224.821 | Best:  434.866 | Buf: 4,000,000



  Checkpoint at ep 23500: Avg=224.821, Buffer=4,000,000



Episode 23550 | Score:  229.226 | Avg:  232.758 | Best:  434.866 | Buf: 4,000,000

Episode 23600 | Score:  239.481 | Avg:  227.226 | Best:  434.866 | Buf: 4,000,000

Episode 23650 | Score:  241.848 | Avg:  223.345 | Best:  434.866 | Buf: 4,000,000

Episode 23700 | Score:  235.402 | Avg:  225.689 | Best:  434.866 | Buf: 4,000,000

Episode 23750 | Score:  210.744 | Avg:  224.771 | Best:  434.866 | Buf: 4,000,000

Episode 23800 | Score:  236.987 | Avg:  219.995 | Best:  434.866 | Buf: 4,000,000

Episode 23850 | Score:  241.130 | Avg:  219.813 | Best:  434.866 | Buf: 4,000,000

Episode 23900 | Score:  231.600 | Avg:  222.323 | Best:  434.866 | Buf: 4,000,000

Episode 23950 | Score:  239.551 | Avg:  215.098 | Best:  434.866 | Buf: 4,000,000

Episode 24000 | Score:  236.836 | Avg:  211.450 | Best:  434.866 | Buf: 4,000,000



  Checkpoint at ep 24000: Avg=211.450, Buffer=4,000,000



Episode 24050 | Score:  242.957 | Avg:  218.535 | Best:  434.866 | Buf: 4,000,000

Episode 24100 | Score:   41.952 | Avg:  218.713 | Best:  434.866 | Buf: 4,000,000

Episode 24150 | Score:  212.709 | Avg:  208.554 | Best:  434.866 | Buf: 4,000,000

Episode 24200 | Score:  215.269 | Avg:  206.083 | Best:  434.866 | Buf: 4,000,000

Episode 24250 | Score:  241.520 | Avg:  218.540 | Best:  434.866 | Buf: 4,000,000

Episode 24300 | Score:  241.659 | Avg:  226.747 | Best:  434.866 | Buf: 4,000,000

Episode 24350 | Score:  235.762 | Avg:  227.440 | Best:  434.866 | Buf: 4,000,000

Episode 24400 | Score:  240.383 | Avg:  228.271 | Best:  434.866 | Buf: 4,000,000

Episode 24450 | Score:  243.115 | Avg:  224.612 | Best:  434.866 | Buf: 4,000,000

Episode 24500 | Score:  239.729 | Avg:  221.222 | Best:  434.866 | Buf: 4,000,000



  Checkpoint at ep 24500: Avg=221.222, Buffer=4,000,000



Episode 24550 | Score:  203.859 | Avg:  219.764 | Best:  434.866 | Buf: 4,000,000

Episode 24600 | Score:  238.265 | Avg:  218.445 | Best:  434.866 | Buf: 4,000,000

Episode 24650 | Score:  243.533 | Avg:  219.511 | Best:  434.866 | Buf: 4,000,000

Episode 24700 | Score:  241.181 | Avg:  217.421 | Best:  434.866 | Buf: 4,000,000

Episode 24750 | Score:  228.384 | Avg:  212.092 | Best:  434.866 | Buf: 4,000,000

Episode 24800 | Score:  243.494 | Avg:  218.108 | Best:  434.866 | Buf: 4,000,000

Episode 24850 | Score:  235.145 | Avg:  222.327 | Best:  434.866 | Buf: 4,000,000

Episode 24900 | Score:  195.039 | Avg:  218.425 | Best:  434.866 | Buf: 4,000,000

Episode 24950 | Score:  239.103 | Avg:  218.783 | Best:  434.866 | Buf: 4,000,000

Episode 25000 | Score:  239.238 | Avg:  226.276 | Best:  434.866 | Buf: 4,000,000



  Checkpoint at ep 25000: Avg=226.276, Buffer=4,000,000



Episode 25050 | Score:  243.530 | Avg:  224.324 | Best:  434.866 | Buf: 4,000,000

Episode 25100 | Score:  242.016 | Avg:  218.073 | Best:  434.866 | Buf: 4,000,000

Episode 25150 | Score:  244.144 | Avg:  218.921 | Best:  434.866 | Buf: 4,000,000

Episode 25200 | Score:  237.028 | Avg:  217.261 | Best:  434.866 | Buf: 4,000,000

Episode 25250 | Score:  240.050 | Avg:  217.601 | Best:  434.866 | Buf: 4,000,000

Episode 25300 | Score:  109.649 | Avg:  222.063 | Best:  434.866 | Buf: 4,000,000

Episode 25350 | Score:  240.724 | Avg:  223.820 | Best:  434.866 | Buf: 4,000,000

Episode 25400 | Score:  233.653 | Avg:  216.867 | Best:  434.866 | Buf: 4,000,000

Episode 25450 | Score:  210.090 | Avg:  212.698 | Best:  434.866 | Buf: 4,000,000

Episode 25500 | Score:  237.971 | Avg:  216.233 | Best:  434.866 | Buf: 4,000,000



  Checkpoint at ep 25500: Avg=216.233, Buffer=4,000,000



Episode 25550 | Score:  242.449 | Avg:  220.553 | Best:  434.866 | Buf: 4,000,000

Episode 25600 | Score:  234.552 | Avg:  216.630 | Best:  434.866 | Buf: 4,000,000

Episode 25650 | Score:  108.060 | Avg:  209.927 | Best:  434.866 | Buf: 4,000,000

Episode 25700 | Score:  216.927 | Avg:  212.205 | Best:  434.866 | Buf: 4,000,000

Episode 25750 | Score:   63.951 | Avg:  211.486 | Best:  434.866 | Buf: 4,000,000

Episode 25800 | Score:  240.447 | Avg:  215.842 | Best:  434.866 | Buf: 4,000,000

Episode 25850 | Score:  183.417 | Avg:  218.910 | Best:  434.866 | Buf: 4,000,000

Episode 25900 | Score:  235.359 | Avg:  217.237 | Best:  434.866 | Buf: 4,000,000

Episode 25950 | Score:  236.272 | Avg:  212.638 | Best:  434.866 | Buf: 4,000,000

Episode 26000 | Score:  240.632 | Avg:  212.698 | Best:  434.866 | Buf: 4,000,000



  Checkpoint at ep 26000: Avg=212.698, Buffer=4,000,000



Episode 26050 | Score:  230.669 | Avg:  215.315 | Best:  434.866 | Buf: 4,000,000

Episode 26100 | Score:  197.869 | Avg:  216.044 | Best:  434.866 | Buf: 4,000,000

Episode 26150 | Score:  243.951 | Avg:  217.912 | Best:  434.866 | Buf: 4,000,000

Episode 26200 | Score:  238.397 | Avg:  216.650 | Best:  434.866 | Buf: 4,000,000

Episode 26250 | Score:  130.648 | Avg:  223.859 | Best:  434.866 | Buf: 4,000,000

Episode 26300 | Score:    1.379 | Avg:  221.703 | Best:  434.866 | Buf: 4,000,000

Episode 26350 | Score:  229.143 | Avg:  208.048 | Best:  434.866 | Buf: 4,000,000

Episode 26400 | Score:  230.854 | Avg:  209.719 | Best:  434.866 | Buf: 4,000,000

Episode 26450 | Score:  242.878 | Avg:  212.548 | Best:  434.866 | Buf: 4,000,000

Episode 26500 | Score:  205.797 | Avg:  206.723 | Best:  434.866 | Buf: 4,000,000



  Checkpoint at ep 26500: Avg=206.723, Buffer=4,000,000



Episode 26550 | Score:  237.812 | Avg:  210.136 | Best:  434.866 | Buf: 4,000,000

Episode 26600 | Score:  226.974 | Avg:  223.300 | Best:  434.866 | Buf: 4,000,000

Episode 26650 | Score:  224.229 | Avg:  231.111 | Best:  434.866 | Buf: 4,000,000

Episode 26700 | Score:  236.684 | Avg:  222.840 | Best:  434.866 | Buf: 4,000,000

Episode 26750 | Score:  190.069 | Avg:  219.447 | Best:  434.866 | Buf: 4,000,000

Episode 26800 | Score:  239.112 | Avg:  210.186 | Best:  434.866 | Buf: 4,000,000

Episode 26850 | Score:  244.177 | Avg:  204.929 | Best:  434.866 | Buf: 4,000,000

Episode 26900 | Score:  235.429 | Avg:  215.598 | Best:  434.866 | Buf: 4,000,000

Episode 26950 | Score:  242.316 | Avg:  220.962 | Best:  434.866 | Buf: 4,000,000

Episode 27000 | Score:  212.154 | Avg:  223.800 | Best:  434.866 | Buf: 4,000,000



  Checkpoint at ep 27000: Avg=223.800, Buffer=4,000,000



Episode 27050 | Score:  241.271 | Avg:  221.484 | Best:  434.866 | Buf: 4,000,000

Episode 27100 | Score:  220.440 | Avg:  217.159 | Best:  434.866 | Buf: 4,000,000

Episode 27150 | Score:  238.458 | Avg:  217.503 | Best:  434.866 | Buf: 4,000,000

Episode 27200 | Score:  242.990 | Avg:  219.019 | Best:  434.866 | Buf: 4,000,000

Episode 27250 | Score:  223.093 | Avg:  218.605 | Best:  434.866 | Buf: 4,000,000

Episode 27300 | Score:  238.890 | Avg:  217.760 | Best:  434.866 | Buf: 4,000,000

Episode 27350 | Score:  232.109 | Avg:  225.404 | Best:  434.866 | Buf: 4,000,000

Episode 27400 | Score:  236.089 | Avg:  228.154 | Best:  434.866 | Buf: 4,000,000

Episode 27450 | Score:  243.546 | Avg:  224.613 | Best:  434.866 | Buf: 4,000,000

Episode 27500 | Score:  244.669 | Avg:  224.158 | Best:  434.866 | Buf: 4,000,000



  Checkpoint at ep 27500: Avg=224.158, Buffer=4,000,000



Episode 27550 | Score:  236.231 | Avg:  224.758 | Best:  434.866 | Buf: 4,000,000

Episode 27600 | Score:  236.635 | Avg:  227.574 | Best:  434.866 | Buf: 4,000,000

Episode 27650 | Score:  238.516 | Avg:  225.824 | Best:  434.866 | Buf: 4,000,000

Episode 27700 | Score:  225.181 | Avg:  222.123 | Best:  434.866 | Buf: 4,000,000

Episode 27750 | Score:  236.301 | Avg:  220.309 | Best:  434.866 | Buf: 4,000,000

Episode 27800 | Score:  244.112 | Avg:  216.842 | Best:  434.866 | Buf: 4,000,000

Episode 27850 | Score:  229.041 | Avg:  223.051 | Best:  434.866 | Buf: 4,000,000

Episode 27900 | Score:  237.290 | Avg:  230.133 | Best:  434.866 | Buf: 4,000,000

Episode 27950 | Score:   10.133 | Avg:  221.499 | Best:  434.866 | Buf: 4,000,000

Episode 28000 | Score:  233.618 | Avg:  215.115 | Best:  434.866 | Buf: 4,000,000



  Checkpoint at ep 28000: Avg=215.115, Buffer=4,000,000



Episode 28050 | Score:  239.099 | Avg:  220.979 | Best:  434.866 | Buf: 4,000,000

Episode 28100 | Score:  239.696 | Avg:  225.682 | Best:  434.866 | Buf: 4,000,000

Episode 28126 | ★ BEST! Score:  439.114 | Avg:  228.005 | Steps: 500 | Noise: 0.050

Episode 28150 | Score:  243.697 | Avg:  227.153 | Best:  439.114 | Buf: 4,000,000

Episode 28200 | Score:  226.033 | Avg:  225.580 | Best:  439.114 | Buf: 4,000,000

Episode 28250 | Score:  222.988 | Avg:  222.773 | Best:  439.114 | Buf: 4,000,000

Episode 28300 | Score:  243.927 | Avg:  225.823 | Best:  439.114 | Buf: 4,000,000

Episode 28350 | Score:  227.489 | Avg:  225.389 | Best:  439.114 | Buf: 4,000,000

Episode 28400 | Score:   67.949 | Avg:  210.942 | Best:  439.114 | Buf: 4,000,000

